id,lock_version,json_schema_version,publish,"created_by","last_modified_by","create_time","system_mtime","user_mtime","agent_sha1"
1,4,1,0,"admin","admin","2015-12-16 13:17:42","2017-07-13 22:14:18","2017-03-23 13:54:23","a83ebdd85e25d0bb4e4a915439ad314a0caedc19"
2,21,1,1,"admin","admin","2015-12-17 22:35:06","2017-07-13 22:14:18","2015-12-17 22:35:06","d31f64d9c742c702b004189104c84d1074b64138"
3,1,1,0,"admin","admin","2015-12-22 18:21:20","2017-07-13 22:14:18","2017-02-27 02:10:44","cd28c8ec5a3a2142ab47a907aa2e5e642dbb759b"
4,1,1,0,"admin","admin","2016-01-24 13:21:28","2017-07-13 22:14:18","2016-01-24 13:21:28","7fc2d88f627c8860a3e80a7d306b86c6f89571d8"
5,18,1,0,"admin","admin","2016-01-28 12:59:14","2017-07-13 22:14:18","2016-01-28 12:59:14","0dccbab98f52cc3d3ea8fc7934b442aaa520b10e"
6,18,1,0,"admin","admin","2016-01-28 12:59:38","2017-07-13 22:14:18","2016-01-28 12:59:38","31bc10d59f118fdef61317019723d1fd97c8bbc7"
7,9,1,0,"admin","admin","2016-01-28 12:59:38","2017-07-13 22:14:18","2016-01-28 12:59:38","8f31f7bb342d5c6d5bb56893ee71c81767a619a2"
8,3,1,0,"admin","admin","2016-02-03 16:29:11","2017-07-13 22:14:18","2016-02-03 16:29:11","004af2f337e327fb18aa06bf558c1c671162b1d4"
9,4,1,0,"admin","admin","2016-02-03 16:29:11","2017-07-13 22:14:18","2016-02-03 16:29:11","e6a9a057edc0b85c8ac4b7adc6743b1ffec0b0ba"
10,3,1,0,"admin","admin","2016-02-03 16:29:11","2017-07-13 22:14:18","2016-02-03 16:29:11","4fd6858232f11c3186bdd3bb6e45ba3f9348f8d0"
11,3,1,0,"admin","admin","2016-02-03 16:29:11","2017-07-13 22:14:18","2016-02-03 16:29:11","c6eaa74b0e69e7bf4d9fb42fd30102749a3932e8"
12,3,1,0,"admin","admin","2016-02-03 16:29:11","2017-07-13 22:14:18","2016-02-03 16:29:11","b86aae9a31ba846e1d2e97817a5e3ea4bf2e1dc5"
13,3,1,0,"admin","admin","2016-02-03 16:29:11","2017-07-13 22:14:18","2016-02-03 16:29:11","855ccae3d0312ae6e6a877e9f298569fd48f8dd5"
14,3,1,0,"admin","admin","2016-02-03 16:29:11","2017-07-13 22:14:18","2016-02-03 16:29:11","9c9805e5ae5ef8c3b57a8ecbc43268fb4ba29031"
15,4,1,0,"admin","admin","2016-02-03 16:29:11","2017-07-13 22:14:18","2016-02-03 16:29:11","17732e68b21a56c0f79c76e80c0961023ca5386c"
16,3,1,0,"admin","admin","2016-02-03 16:29:11","2017-07-13 22:14:18","2016-02-03 16:29:11","2ed528766cb8172161817e7ffdccc642e6bc3691"
17,3,1,0,"admin","admin","2016-02-03 16:29:11","2017-07-13 22:14:18","2016-02-03 16:29:11","5dc9931ae01fe085f75f35ed2142821e118e0db9"
18,3,1,0,"admin","admin","2016-02-03 16:29:12","2017-07-13 22:14:18","2016-02-03 16:29:12","a6715a9304e65fd50a14c776883bb6d6c869284a"
19,3,1,0,"admin","admin","2016-02-03 16:29:12","2017-07-13 22:14:18","2016-02-03 16:29:12","bf659cb01c2162778808d15390c0ae0bddbf6708"
20,3,1,0,"admin","admin","2016-02-03 16:29:12","2017-07-13 22:14:18","2016-02-03 16:29:12","27a07b5d77a6188b23c96ddb823f25f2f8d11d7f"
21,3,1,0,"admin","admin","2016-02-03 16:29:12","2017-07-13 22:14:18","2016-02-03 16:29:12","cb66a78d97cbfb1895a7eec1378545148e37c917"
22,3,1,0,"admin","admin","2016-02-03 16:29:12","2017-07-13 22:14:18","2016-02-03 16:29:12","3470358db28738c18902ad0a252f70de0e39da89"
23,3,1,0,"admin","admin","2016-02-03 16:29:12","2017-07-13 22:14:18","2016-02-03 16:29:12","2d114d602bb480dc0844c8f04309794d85bd06ec"
24,3,1,0,"admin","admin","2016-02-03 16:29:12","2017-07-13 22:14:18","2016-02-03 16:29:12","9158154e852d9908d114eec984337ba8ae1a1c37"
25,3,1,0,"admin","admin","2016-02-03 16:29:12","2017-07-13 22:14:18","2016-02-03 16:29:12","a23adfc0d188df02e02c4d10c98ef11b74a81b51"
26,3,1,0,"admin","admin","2016-02-03 16:29:12","2017-07-13 22:14:18","2016-02-03 16:29:12","c5830785ffb42169baf483918169ed0a959572ff"
27,3,1,0,"admin","admin","2016-02-03 16:29:12","2017-07-13 22:14:18","2016-02-03 16:29:12","b8d5a51164b5fc759597c3aa0b8cb901d215d620"
28,3,1,0,"admin","admin","2016-02-03 16:29:12","2017-07-13 22:14:18","2016-02-03 16:29:12","970b26a098fc42f91cd46f2e2089f6e4fcf3cf5a"
29,3,1,0,"admin","admin","2016-02-03 16:29:12","2017-07-13 22:14:18","2016-02-03 16:29:12","8be8810beb16b9ba22b5c7add779f67ac59bce8d"
30,3,1,0,"admin","admin","2016-02-03 16:29:12","2017-07-13 22:14:18","2016-02-03 16:29:12","6daa7c00d43c39266857af31f1700e389abf8b05"
