id,lock_version,json_schema_version,publish,"created_by","last_modified_by","create_time","system_mtime","user_mtime","agent_sha1"
1,1,1,0,"admin","admin","2016-02-03 18:13:10","2017-07-13 22:14:18","2016-02-03 18:13:10","f1d2607fce8271adbafa5235897ca23ec2f215bf"
2,0,1,0,"admin","admin","2016-02-03 19:09:16","2017-07-13 22:14:18","2016-02-03 19:09:16","b2c0ebfd99b6d0edf44850519b5b4240e55edea3"
3,26,1,1,"admin","admin","2016-02-10 13:39:41","2017-07-13 22:14:18","2017-04-12 23:06:19","6066fe9051abc2a74eba130464a8139532133ee6"
4,4,1,0,"admin","admin","2016-02-11 16:07:46","2017-07-13 22:14:18","2016-02-11 16:07:46","12f7c4d6f10572a0878ee8b4e179026ac7a12e70"
5,1,1,0,"admin","admin","2016-02-11 16:07:47","2017-07-13 22:14:18","2016-02-11 16:07:47","a010700b08f7b1f56ef852f2078f8e9c1374eb6c"
6,1,1,0,"admin","admin","2016-02-11 16:07:47","2017-07-13 22:14:18","2016-02-11 16:07:47","6b26722599a0a0bd4eeb28af6db11bff03cb7a31"
7,1,1,0,"admin","admin","2016-02-11 16:07:48","2017-07-13 22:14:18","2016-02-11 16:07:48","31ba5d9c8dc7de31a28b6e716b71f72ac80dc111"
8,1,1,NULL,"buschedw","buschedw","2016-04-11 14:52:28","2017-07-13 22:14:18","2016-04-11 14:52:28","7ee00aa8a2b00af940cac5c2053f9820089925c0"
9,1,1,NULL,"buschedw","buschedw","2016-04-11 14:52:29","2017-07-13 22:14:18","2016-04-11 14:52:29","55c50f57efca77a9eb679f699db28a3032c03c66"
10,0,1,0,"test-user","test-user","2016-05-12 20:18:48","2017-07-13 22:14:18","2016-05-12 20:18:48","c8c72f8f3d456b6a572e5a1cfafd8791448f73d9"
11,1,1,0,"admin","admin","2016-07-08 15:45:37","2017-07-13 22:14:18","2016-07-08 15:45:37","1e6fe43a076675472cbdea0b9fed86e6f5681cbb"
12,1,1,0,"admin","admin","2016-07-08 15:45:37","2017-07-13 22:14:18","2016-07-08 15:45:37","8bb214de07acc022500e2d079af13a502412df36"
13,1,1,0,"admin","admin","2016-07-08 15:45:37","2017-07-13 22:14:18","2016-07-08 15:45:37","22a256acf9c7059598450ae0794e9ba0b57a9d19"
14,2,1,0,"admin","admin","2016-07-08 16:53:36","2017-07-13 22:14:18","2016-07-08 16:53:36","8f1b42bd7b92dbc2050219d3f2a0b7cee90a4a7d"
15,2,1,0,"admin","admin","2016-07-08 16:53:36","2017-07-13 22:14:18","2016-07-08 16:53:36","5b93af75b5c66f4051fcd62728187ce64efd372b"
16,2,1,0,"admin","admin","2016-07-08 16:53:36","2017-07-13 22:14:18","2016-07-08 16:53:36","ed81ae11d966fb239d5c2d29789f76c7fc3a7acb"
17,2,1,0,"admin","admin","2016-07-08 16:53:36","2017-07-13 22:14:18","2016-07-08 16:53:36","bc5113d507d465e16a798410a9daef33ca2ed1b8"
18,2,1,0,"admin","admin","2016-07-08 16:53:36","2017-07-13 22:14:18","2016-07-08 16:53:36","472a2dbba6d2f5f02fbe095bc479e5c7575d8206"
19,2,1,0,"admin","admin","2016-07-08 16:53:36","2017-07-13 22:14:18","2016-07-08 16:53:36","6e12bf7dcf1dfc0e5d13a7988e9a55c9c8e608d6"
20,2,1,0,"admin","admin","2016-07-08 16:53:36","2017-07-13 22:14:18","2016-07-08 16:53:36","110fa72c56c3c750346e53f13622c59d26e88651"
21,2,1,0,"admin","admin","2016-07-08 16:53:36","2017-07-13 22:14:18","2016-07-08 16:53:36","ab6c64a65bfabfa18d220ae96b68411939b8f9a9"
22,2,1,0,"admin","admin","2016-07-08 16:53:36","2017-07-13 22:14:18","2016-07-08 16:53:36","f6d33a991c4869962f35bd06749885596daa59cd"
23,1,1,0,"admin","admin","2016-07-19 20:17:48","2017-07-13 22:14:18","2016-07-19 20:17:48","94b4e12f3267e3e83d37cb37e3196a2307f10580"
24,3,1,0,"admin","admin","2016-08-10 16:12:12","2017-07-13 22:14:18","2016-08-10 16:12:12","6e69339371c325f18e88305f44f7e54d00470cc0"
28,1,1,0,"cdibella","cdibella","2017-01-26 13:39:00","2017-07-13 22:14:18","2017-01-26 13:39:00","518b7a88712ebe64a324544e49597e67870b0c10"
30,38,1,0,"admin","admin","2017-03-23 15:24:48","2017-07-13 22:14:18","2017-03-23 15:24:48","28090c5c85e516fffc8c61869789559e5e472350"
31,3,1,0,"admin","admin","2017-03-24 14:38:13","2017-07-13 22:14:18","2017-03-24 14:41:21","de0c52e7c895bfabc8aa70a5dca8510801ac2f53"
