id,lock_version,json_schema_version,accession_id,deaccession_id,archival_object_id,resource_id,digital_object_id,digital_object_component_id,portion_id,"number",extent_type_id,"container_summary","physical_details","dimensions","created_by","last_modified_by","create_time","system_mtime","user_mtime"
27,0,1,NULL,NULL,NULL,17,NULL,NULL,923,"more",275,NULL,NULL,NULL,"admin","admin","2016-01-20 17:17:20","2016-01-20 17:17:20","2016-01-20 17:17:20"
35,0,1,NULL,NULL,NULL,19,NULL,NULL,923,"4.25",1787,"(56 boxes)",NULL,NULL,"admin","admin","2016-01-24 13:21:29","2016-01-24 13:21:29","2016-01-24 13:21:29"
69,0,1,NULL,NULL,NULL,30,NULL,NULL,923,"1",2076,NULL,NULL,NULL,"admin","admin","2016-02-05 21:36:06","2016-02-05 21:36:06","2016-02-05 21:36:06"
71,0,1,NULL,NULL,NULL,32,NULL,NULL,923,"2",274,NULL,NULL,NULL,"admin","admin","2016-02-06 22:46:30","2016-02-06 22:46:30","2016-02-06 22:46:30"
83,0,1,NULL,NULL,9246,NULL,NULL,NULL,923,"1.0",2136,NULL,NULL,NULL,"admin","admin","2016-02-10 13:39:42","2016-02-10 13:39:42","2016-02-10 13:39:42"
84,0,1,NULL,NULL,9246,NULL,NULL,NULL,923,"1",2155,NULL,NULL,NULL,"admin","admin","2016-02-10 13:39:42","2016-02-10 13:39:42","2016-02-10 13:39:42"
85,0,1,NULL,NULL,9247,NULL,NULL,NULL,923,"0.5",2136,NULL,NULL,NULL,"admin","admin","2016-02-10 13:39:42","2016-02-10 13:39:42","2016-02-10 13:39:42"
86,0,1,NULL,NULL,9247,NULL,NULL,NULL,923,"15",2149,NULL,NULL,NULL,"admin","admin","2016-02-10 13:39:42","2016-02-10 13:39:42","2016-02-10 13:39:42"
90,0,1,NULL,NULL,NULL,37,NULL,NULL,924,"5.0",2136,"Resource-ContainerSummary-AT","Resource-PhysicalFacet-AT","Resource-Dimensions-AT","admin","admin","2016-02-11 16:07:48","2016-02-11 16:07:48","2016-02-11 16:07:48"
91,0,1,NULL,NULL,9975,NULL,NULL,NULL,923,"1.0",2265,"Resource-C01-ContainerSummary-AT",NULL,NULL,"admin","admin","2016-02-11 16:07:48","2016-02-11 16:07:48","2016-02-11 16:07:48"
92,0,1,NULL,NULL,9976,NULL,NULL,NULL,923,"1.0",2136,"Resource-C02-ContainerSummary-AT",NULL,NULL,"admin","admin","2016-02-11 16:07:49","2016-02-11 16:07:49","2016-02-11 16:07:49"
93,0,1,NULL,NULL,9977,NULL,NULL,NULL,923,"1.0",2136,"Resource-C03-ContainerSummary-AT",NULL,NULL,"admin","admin","2016-02-11 16:07:49","2016-02-11 16:07:49","2016-02-11 16:07:49"
94,0,1,NULL,NULL,9978,NULL,NULL,NULL,923,"1.0",2136,"Resource-C04-ContainerSummary-AT",NULL,NULL,"admin","admin","2016-02-11 16:07:49","2016-02-11 16:07:49","2016-02-11 16:07:49"
95,0,1,NULL,NULL,9979,NULL,NULL,NULL,923,"1.0",2136,"Resource-C05-ContainerSummary-AT",NULL,NULL,"admin","admin","2016-02-11 16:07:49","2016-02-11 16:07:49","2016-02-11 16:07:49"
96,0,1,NULL,NULL,9980,NULL,NULL,NULL,923,"1.0",2136,"Resource-C06-ContainerSummary-AT",NULL,NULL,"admin","admin","2016-02-11 16:07:49","2016-02-11 16:07:49","2016-02-11 16:07:49"
97,0,1,NULL,NULL,9981,NULL,NULL,NULL,923,"1.0",2136,"Resource-C07-ContainerSummary-AT",NULL,NULL,"admin","admin","2016-02-11 16:07:49","2016-02-11 16:07:49","2016-02-11 16:07:49"
98,0,1,NULL,NULL,9982,NULL,NULL,NULL,923,"1.0",2136,"Resource-C08-ContainerSummary-At",NULL,NULL,"admin","admin","2016-02-11 16:07:49","2016-02-11 16:07:49","2016-02-11 16:07:49"
99,0,1,NULL,NULL,9983,NULL,NULL,NULL,923,"1.0",2136,"Resource-C09-ContainerSummary-AT",NULL,NULL,"admin","admin","2016-02-11 16:07:49","2016-02-11 16:07:49","2016-02-11 16:07:49"
100,0,1,NULL,NULL,9984,NULL,NULL,NULL,923,"1.0",2136,"Resource-C10-ContainerSummary-AT",NULL,NULL,"admin","admin","2016-02-11 16:07:49","2016-02-11 16:07:49","2016-02-11 16:07:49"
101,0,1,NULL,NULL,9985,NULL,NULL,NULL,923,"1.0",2136,"Resource-C11-ContainerSummary-AT",NULL,NULL,"admin","admin","2016-02-11 16:07:49","2016-02-11 16:07:49","2016-02-11 16:07:49"
102,0,1,NULL,NULL,9986,NULL,NULL,NULL,923,"1.0",2136,"Resource-C12-ContainerSummary-AT",NULL,NULL,"admin","admin","2016-02-11 16:07:49","2016-02-11 16:07:49","2016-02-11 16:07:49"
103,0,1,NULL,NULL,9988,NULL,NULL,NULL,923,"1",1372,NULL,NULL,NULL,"admin","admin","2016-02-17 14:45:54","2017-04-07 15:20:37","2016-02-17 14:45:54"
108,0,1,NULL,NULL,NULL,39,NULL,NULL,923,"0.4",1787,NULL,NULL,NULL,"admin","admin","2016-02-22 01:40:38","2016-02-22 01:40:38","2016-02-22 01:40:38"
119,0,1,NULL,NULL,NULL,48,NULL,NULL,923,"22",1372,NULL,NULL,NULL,"admin","admin","2016-03-01 19:10:47","2017-04-07 15:20:37","2016-03-01 19:10:47"
126,0,1,NULL,NULL,NULL,49,NULL,NULL,923,"32.20",1372,"(8 archives boxes, 59 art bin items and 88 oversize folders)",NULL,NULL,"admin","admin","2016-03-03 19:13:55","2016-03-03 19:13:55","2016-03-03 19:13:55"
139,0,1,NULL,NULL,NULL,50,NULL,NULL,923,"10",1372,NULL,NULL,NULL,"admin","admin","2016-03-04 14:24:40","2017-04-07 15:20:37","2016-03-04 14:24:40"
143,0,1,NULL,NULL,NULL,53,NULL,NULL,924,"3",2574,"another extent statement","physfacet","dimensions","admin","admin","2016-03-08 16:47:27","2016-03-08 16:47:27","2016-03-08 16:47:27"
144,0,1,NULL,NULL,NULL,54,NULL,NULL,924,"1",1372,"in 2 boxes",NULL,NULL,"admin","admin","2016-03-08 18:37:11","2016-03-08 18:37:11","2016-03-08 18:37:11"
