id,lock_version,json_schema_version,"name",dimension_units_id,"height","width","depth","created_by","last_modified_by","create_time","system_mtime","user_mtime"
3,2,1,"Standard archival shelf",1349,"16","36","18","admin","admin","2016-06-28 18:40:56","2017-07-13 22:14:18","2016-07-13 13:39:54"
4,82,1,"10 West - 3 Wide",1349,"11.25","39.75","16.25","admin","admin","2016-06-29 17:02:56","2017-07-13 22:14:18","2016-06-29 17:02:56"
5,14,1,"Map case drawer",1349,"1.75","50","38","admin","admin","2016-06-29 17:25:30","2017-07-13 22:14:18","2016-06-29 17:50:17"
6,0,1,"Oversize - short",1349,"10.75","29.25","41.5","admin","admin","2016-06-29 17:26:23","2017-07-13 22:14:18","2016-06-29 17:26:23"
7,68,1,"Compact Shelving for 2 Record Cartons",1349,"11","27.75","16.25","admin","admin","2016-06-29 17:27:10","2017-07-13 22:14:18","2016-08-02 18:49:44"
8,2,1,"standard shelves",1349,"26","12","36","admin","admin","2016-07-05 18:53:43","2017-07-13 22:14:18","2016-07-05 18:53:43"
10,0,1,"Drawer",1349,"5","40","30","admin","admin","2016-07-13 13:42:24","2017-07-13 22:14:18","2016-07-13 13:42:24"
11,0,1,"Bin",1349,"2","20","45","admin","admin","2016-07-13 13:43:45","2017-07-13 22:14:18","2016-07-13 13:43:45"
12,0,1,"alcove",1350,"5","10","4","admin","admin","2016-07-13 13:44:13","2017-07-13 22:14:18","2016-07-13 13:44:13"
13,36,1,"Compact storage record carton",1349,"13","27.75","15","admin","admin","2016-07-25 00:45:23","2017-07-13 22:14:18","2016-07-25 00:45:23"
14,1,1,"F422639O374",1349,"20","100","10","admin","admin","2017-06-21 15:39:53","2017-07-13 22:14:18","2017-06-21 15:39:53"
15,1,1,"672964596MY",1349,"20","100","10","admin","admin","2017-06-21 22:10:46","2017-07-13 22:14:18","2017-06-21 22:10:46"
