id,"permission_code","description","level",system,"created_by","last_modified_by","create_time","system_mtime","user_mtime"
1,"system_config","The ability to manage system configuration options","global",0,NULL,NULL,"2015-12-08 18:55:14","2015-12-08 18:55:14","2015-12-08 18:55:14"
2,"administer_system","The ability to act as a system administrator","global",0,NULL,NULL,"2015-12-08 18:55:14","2015-12-08 18:55:14","2015-12-08 18:55:14"
3,"manage_users","The ability to manage user accounts while logged in","global",0,NULL,NULL,"2015-12-08 18:55:14","2015-12-08 18:55:14","2015-12-08 18:55:14"
4,"become_user","The ability to masquerade as another user","global",0,NULL,NULL,"2015-12-08 18:55:14","2015-12-08 18:55:14","2015-12-08 18:55:14"
5,"view_all_records","The ability to view any record in the system","global",1,NULL,NULL,"2015-12-08 18:55:14","2015-12-08 18:55:14","2015-12-08 18:55:14"
6,"create_repository","The ability to create new repositories","global",0,NULL,NULL,"2015-12-08 18:55:15","2015-12-08 18:55:15","2015-12-08 18:55:15"
7,"delete_repository","The ability to delete a repository","global",0,NULL,NULL,"2015-12-08 18:55:15","2015-12-08 18:55:15","2015-12-08 18:55:15"
8,"transfer_repository","The ability to transfer the contents of a repository","repository",0,NULL,NULL,"2015-12-08 18:55:15","2015-12-08 18:55:15","2015-12-08 18:55:15"
9,"index_system","The ability to read any record for indexing","global",1,NULL,NULL,"2015-12-08 18:55:15","2015-12-08 18:55:15","2015-12-08 18:55:15"
10,"manage_repository","The ability to manage a given repository","repository",0,NULL,NULL,"2015-12-08 18:55:15","2015-12-08 18:55:15","2015-12-08 18:55:15"
11,"update_accession_record","The ability to create and modify accessions records","repository",0,NULL,NULL,"2015-12-08 18:55:15","2015-12-08 18:55:15","2015-12-08 18:55:15"
12,"update_resource_record","The ability to create and modify resources records","repository",0,NULL,NULL,"2015-12-08 18:55:16","2015-12-08 18:55:16","2015-12-08 18:55:16"
13,"update_digital_object_record","The ability to create and modify digital objects records","repository",0,NULL,NULL,"2015-12-08 18:55:16","2015-12-08 18:55:16","2015-12-08 18:55:16"
14,"update_event_record","The ability to create and modify event records","repository",0,NULL,NULL,"2015-12-08 18:55:16","2015-12-08 18:55:16","2015-12-08 18:55:16"
15,"delete_event_record","The ability to delete event records","repository",0,NULL,NULL,"2015-12-08 18:55:16","2015-12-08 18:55:16","2015-12-08 18:55:16"
16,"suppress_archival_record","The ability to suppress the major archival record types: accessions/resources/digital objects/components/collection management/events","repository",0,NULL,NULL,"2015-12-08 18:55:16","2015-12-08 18:55:16","2015-12-08 18:55:16"
17,"transfer_archival_record","The ability to transfer records between different repositories","repository",0,NULL,NULL,"2015-12-08 18:55:16","2015-12-08 18:55:16","2015-12-08 18:55:16"
18,"delete_archival_record","The ability to delete the major archival record types: accessions/resources/digital objects/components/collection management/events","repository",0,NULL,NULL,"2015-12-08 18:55:16","2015-12-08 18:55:16","2015-12-08 18:55:16"
19,"view_suppressed","The ability to view suppressed records in a given repository","repository",0,NULL,NULL,"2015-12-08 18:55:16","2015-12-08 18:55:16","2015-12-08 18:55:16"
20,"view_repository","The ability to view a given repository","repository",0,NULL,NULL,"2015-12-08 18:55:16","2015-12-08 18:55:16","2015-12-08 18:55:16"
21,"update_classification_record","The ability to create and modify classification records","repository",0,NULL,NULL,"2015-12-08 18:55:17","2015-12-08 18:55:17","2015-12-08 18:55:17"
22,"delete_classification_record","The ability to delete classification records","repository",0,NULL,NULL,"2015-12-08 18:55:17","2015-12-08 18:55:17","2015-12-08 18:55:17"
23,"mediate_edits","Track concurrent updates to records","global",1,NULL,NULL,"2015-12-08 18:55:17","2015-12-08 18:55:17","2015-12-08 18:55:17"
24,"import_records","The ability to initiate an importer job","repository",0,NULL,NULL,"2015-12-08 18:55:17","2015-12-08 18:55:17","2015-12-08 18:55:17"
25,"cancel_importer_job","The ability to cancel a queued or running importer job","repository",0,NULL,NULL,"2015-12-08 18:55:17","2015-12-08 18:55:17","2015-12-08 18:55:17"
26,"manage_subject_record","The ability to create, modify and delete a subject record","repository",0,NULL,NULL,"2015-12-08 18:55:17","2015-12-08 18:55:17","2015-12-08 18:55:17"
27,"manage_agent_record","The ability to create, modify and delete an agent record","repository",0,NULL,NULL,"2015-12-08 18:55:17","2015-12-08 18:55:17","2015-12-08 18:55:17"
28,"manage_vocabulary_record","The ability to create, modify and delete a vocabulary record","repository",0,NULL,NULL,"2015-12-08 18:55:17","2015-12-08 18:55:17","2015-12-08 18:55:17"
29,"merge_agents_and_subjects","The ability to merge agent/subject records","repository",0,NULL,NULL,"2015-12-08 18:55:18","2015-12-08 18:55:18","2015-12-08 18:55:18"
30,"merge_archival_record","The ability to merge archival records records","repository",0,NULL,NULL,"2015-12-08 18:55:18","2015-12-08 18:55:18","2015-12-08 18:55:18"
31,"manage_rde_templates","The ability to create and delete RDE templates","repository",0,NULL,NULL,"2015-12-08 18:55:18","2015-12-08 18:55:18","2015-12-08 18:55:18"
32,"update_container_record","The ability to create and update container records","repository",0,NULL,NULL,"2015-12-08 18:55:18","2015-12-08 18:55:18","2015-12-08 18:55:18"
33,"manage_container_record","The ability to delete and bulk update container records","repository",0,NULL,NULL,"2015-12-08 18:55:18","2015-12-08 18:55:18","2015-12-08 18:55:18"
34,"manage_container_profile_record","The ability to create, modify and delete a container profile record","repository",0,NULL,NULL,"2015-12-08 18:55:18","2015-12-08 18:55:18","2015-12-08 18:55:18"
35,"manage_location_profile_record","The ability to create, modify and delete a location profile record","repository",0,NULL,NULL,"2016-06-22 04:06:04","2016-06-22 04:06:04","2016-06-22 04:06:04"
36,"create_job","The ability to create background jobs","repository",0,"admin","admin","2017-03-18 04:05:40","2017-03-18 04:05:40","2017-03-18 04:05:40"
37,"cancel_job","The ability to cancel background jobs","repository",0,"admin","admin","2017-03-18 04:05:40","2017-03-18 04:05:40","2017-03-18 04:05:40"
