id,accession_id,resource_id,aspace_relationship_position,"created_by","last_modified_by","system_mtime","user_mtime",suppressed
19,25,101,0,NULL,NULL,"2016-06-30 17:32:43","2016-06-30 17:32:43",0
29,16,84,0,NULL,NULL,"2016-08-17 21:30:15","2016-08-17 21:30:15",0
38,17,195,0,NULL,NULL,"2016-10-06 14:46:46","2016-10-06 14:46:46",0
43,38,200,0,NULL,NULL,"2016-11-10 02:54:57","2016-11-10 02:54:57",0
93,35,205,0,NULL,NULL,"2016-11-17 15:48:31","2016-11-17 15:48:31",0
96,46,209,0,NULL,NULL,"2016-11-17 15:51:21","2016-11-17 15:51:21",0
101,41,212,0,NULL,NULL,"2016-11-17 16:03:31","2016-11-17 16:03:31",0
102,50,225,0,NULL,NULL,"2016-11-27 04:02:58","2016-11-27 04:02:58",0
103,40,214,0,NULL,NULL,"2016-11-30 21:21:16","2016-11-30 21:21:16",0
112,53,256,0,NULL,NULL,"2017-02-08 16:38:31","2017-02-08 16:38:31",0
113,31,124,0,NULL,NULL,"2017-03-06 23:31:38","2017-03-06 23:31:38",0
116,48,215,0,NULL,NULL,"2017-03-22 16:15:00","2017-03-22 16:15:00",0
127,1,24,0,NULL,NULL,"2017-04-07 13:08:56","2017-04-07 13:08:56",0
128,1,286,0,NULL,NULL,"2017-04-07 13:09:55","2017-04-07 13:09:55",0
130,15,269,0,NULL,NULL,"2017-04-10 15:34:24","2017-04-10 15:34:24",0
140,3,48,0,NULL,NULL,"2017-04-10 17:41:15","2017-04-10 17:41:15",0
141,3,268,1,NULL,NULL,"2017-04-10 17:41:15","2017-04-10 17:41:15",0
142,3,23,2,NULL,NULL,"2017-04-10 17:41:15","2017-04-10 17:41:15",0
143,63,280,0,NULL,NULL,"2017-04-10 20:14:01","2017-04-10 20:14:01",0
145,7,79,0,NULL,NULL,"2017-04-28 20:09:58","2017-04-28 20:09:58",0
147,45,208,0,NULL,NULL,"2017-05-01 14:48:57","2017-05-01 14:48:57",0
149,43,207,0,NULL,NULL,"2017-05-01 15:53:24","2017-05-01 15:53:24",0
