id,lock_version,json_schema_version,vocab_id,"title","terms_sha1","authority_id","scope_note",source_id,"created_by","last_modified_by","create_time","system_mtime","user_mtime"
1,1,1,1,"World War, 1914-1919","959e843b3040aec84ed35f9172a4de7754438f68",NULL,NULL,360,"admin","admin","2016-01-17 22:12:36","2017-07-13 22:14:18","2016-01-17 22:12:36"
2,5,1,1,"World War, 1914-1919","959e843b3040aec84ed35f9172a4de7754438f68",NULL,NULL,361,"admin","admin","2016-01-17 22:15:26","2017-07-13 22:14:18","2016-01-17 22:15:26"
3,10,1,1,"United States--History--Civil War, 1861-1865--Naval Operations","235ed9caeb970b860fa35310dcba41a58db41c05",NULL,NULL,360,"admin","admin","2016-01-21 02:58:45","2017-07-13 22:14:18","2016-01-21 02:58:45"
4,10,1,1,"United States. Navy","2cae67755a1f56f9229d89a70ca43e5789feaedc",NULL,NULL,360,"admin","admin","2016-01-21 02:58:45","2017-07-13 22:14:18","2016-01-21 02:58:45"
5,10,1,1,"United States. Navy--Officers","6820c8698f0b7dc695b5d5d82b3c21527ef0c928",NULL,NULL,360,"admin","admin","2016-01-21 02:58:45","2017-07-13 22:14:18","2016-01-21 02:58:45"
6,10,1,1,"Tennessee (Ironclad)","15d857e0b84066df6cda0c17b654f4b8f4a90461",NULL,NULL,360,"admin","admin","2016-01-21 02:58:45","2017-07-13 22:14:18","2016-01-21 02:58:45"
7,1,1,1,"Botanists -- France.","f42392be1f39df54de202734f2734f23c49f6bfa",NULL,NULL,360,"admin","admin","2016-01-24 13:21:28","2017-07-13 22:14:18","2016-01-24 13:21:28"
8,1,1,1,"Public officers -- Mexico.","d14e90c869a7b83ca2fe9a834742dd1ceb340488",NULL,NULL,360,"admin","admin","2016-01-24 13:21:28","2017-07-13 22:14:18","2016-01-24 13:21:28"
9,1,1,1,"Texas -- Politics and government -- To 1846.","9e7a9983410ed0e42e829b1cdee0b8377bf31538",NULL,NULL,1806,"admin","admin","2016-01-24 13:21:28","2017-07-13 22:14:18","2016-01-24 13:21:28"
10,1,1,1,"Texas -- Description and travel.","e12093e2b00f517d0ec96eea8f5ad0b179ada41d",NULL,NULL,1806,"admin","admin","2016-01-24 13:21:28","2017-07-13 22:14:18","2016-01-24 13:21:28"
11,1,1,1,"Mexican War, 1846-1848 -- Campaigns.","38455b4e494c87bd1b776a03a8352fbb8a3dd512",NULL,NULL,360,"admin","admin","2016-01-24 13:21:28","2017-07-13 22:14:18","2016-01-24 13:21:28"
12,1,1,1,"Mexico -- Description and travel.","042813dcd92511e4d95c1bb60202722b99a1583c",NULL,NULL,1806,"admin","admin","2016-01-24 13:21:28","2017-07-13 22:14:18","2016-01-24 13:21:28"
13,1,1,1,"Mexico -- Gazetteers.","c50abc50ee563644e6ffac3bd1e804567325bd62",NULL,NULL,1806,"admin","admin","2016-01-24 13:21:28","2017-07-13 22:14:18","2016-01-24 13:21:28"
14,5,1,1,"Mexico -- History -- 1810-","3b975f9debc6f6f10a5a97bede60158c8978b78b",NULL,NULL,1806,"admin","admin","2016-01-24 13:21:28","2017-07-13 22:14:18","2016-01-24 13:21:28"
15,1,1,1,"Mexico -- Maps.","e79590edb28e35b92eb8bd237d11383a80df40b5",NULL,NULL,1806,"admin","admin","2016-01-24 13:21:28","2017-07-13 22:14:18","2016-01-24 13:21:28"
16,1,1,1,"Nuevo León (Mexico : State) -- Pictorial works.","569df63d6b6a1d6498b398988b17dfa5adb959d7",NULL,NULL,1806,"admin","admin","2016-01-24 13:21:28","2017-07-13 22:14:18","2016-01-24 13:21:28"
17,1,1,1,"Provincias Internas (New Spain)","b634e780fc7f0dfbae41c88a391f409e72668a74",NULL,NULL,1806,"admin","admin","2016-01-24 13:21:28","2017-07-13 22:14:18","2016-01-24 13:21:28"
18,1,1,1,"Tamaulipas (Mexico) -- Pictorial works.","fd2d85ebbeec0f918e14c029ec6f4f8a533b4129",NULL,NULL,1806,"admin","admin","2016-01-24 13:21:28","2017-07-13 22:14:18","2016-01-24 13:21:28"
19,1,1,1,"Diaries -- France.","5ab990c36734ea61b746124fc8425542d2477ee9",NULL,NULL,358,"admin","admin","2016-01-24 13:21:28","2017-07-13 22:14:18","2016-01-24 13:21:28"
20,1,1,1,"Mexico -- History -- 1821-1861.","3da6a404ca916c20a0b0f8a8508c5b267ac27c12",NULL,NULL,1806,"admin","admin","2016-01-24 13:21:28","2017-07-13 22:14:18","2016-01-24 13:21:28"
21,1,1,1,"Texas -- History -- To 1846.","c260022b7a047c7474ea8319c74db5f0f7525b95",NULL,NULL,1806,"admin","admin","2016-01-24 13:21:28","2017-07-13 22:14:18","2016-01-24 13:21:28"
22,1,1,1,"Texas -- Boundaries -- United States.","abb638ea60dfe7f9d68a77685a01e2d8ec550595",NULL,NULL,1806,"admin","admin","2016-01-24 13:21:28","2017-07-13 22:14:18","2016-01-24 13:21:28"
23,1,1,1,"United States -- Boundaries -- Texas.","753fe8cf9c032c9f314a5c96729888e1bb3c5edb",NULL,NULL,1806,"admin","admin","2016-01-24 13:21:28","2017-07-13 22:14:18","2016-01-24 13:21:28"
24,1,1,1,"Gutierrez-Magee Expedition, 1812-1813.","cf800a72983a6287de03c7131a2033ab41bd7fc9",NULL,NULL,360,"admin","admin","2016-01-24 13:21:28","2017-07-13 22:14:18","2016-01-24 13:21:28"
25,1,1,1,"Land grants -- Texas.","9ec6d58857b012f0ba3a9ce5f950490c4c72e0f0",NULL,NULL,360,"admin","admin","2016-01-24 13:21:28","2017-07-13 22:14:18","2016-01-24 13:21:28"
26,1,1,1,"Meteorology -- Mexico.","1b5aa88b204e70906e72cd08b563c625755b0f3d",NULL,NULL,360,"admin","admin","2016-01-24 13:21:28","2017-07-13 22:14:18","2016-01-24 13:21:28"
27,9,1,1,"Forests and forestry -- Maine -- History","2bde90c6d43c304a8c284b663a1a608a57241fe4",NULL,NULL,1841,"admin","admin","2016-01-28 12:59:14","2017-07-13 22:14:18","2016-01-28 12:59:14"
28,10,1,1,"Logging -- Maine -- History","27e5f3cfdb27a58595d3e90166091dbdaf2ef68d",NULL,NULL,360,"admin","admin","2016-01-28 12:59:14","2017-07-13 22:14:18","2016-01-28 12:59:14"
29,9,1,1,"Paper industry -- Maine -- History","6e9f94145b0ca90110004b9c4154867eed412ee4",NULL,NULL,360,"admin","admin","2016-01-28 12:59:14","2017-07-13 22:14:18","2016-01-28 12:59:14"
30,9,1,1,"Paper mills -- Maine -- History","120a6e263555efc0364d5a64d3bff82dbea3159c",NULL,NULL,1841,"admin","admin","2016-01-28 12:59:14","2017-07-13 22:14:18","2016-01-28 12:59:14"
31,9,1,1,"Papermaking -- Maine -- History","787e6511c9ebc80857bfd6f3372cb640dfaf221c",NULL,NULL,1841,"admin","admin","2016-01-28 12:59:14","2017-07-13 22:14:18","2016-01-28 12:59:14"
32,9,1,1,"East Millinocket (Me.) -- History","bea3f9f0538833f0e73a3f18be503c17e12a0cb7",NULL,NULL,1841,"admin","admin","2016-01-28 12:59:14","2017-07-13 22:14:18","2016-01-28 12:59:14"
33,9,1,1,"Madison (Me.) -- History","f760b94790d490a89a06672a9c8bcea79767b174",NULL,NULL,1841,"admin","admin","2016-01-28 12:59:14","2017-07-13 22:14:18","2016-01-28 12:59:14"
34,9,1,1,"Millinocket (Me.) -- History","53e92b50f45ab03fe2f44e385fce04face1b6187",NULL,NULL,1841,"admin","admin","2016-01-28 12:59:14","2017-07-13 22:14:18","2016-01-28 12:59:14"
35,9,1,1,"Women -- Societies and clubs","bad0b715c4011890c5b3e11592ebcb3248ded972",NULL,NULL,360,"admin","admin","2016-01-28 12:59:38","2017-07-13 22:14:18","2016-01-28 12:59:38"
36,9,1,1,"Invitations","309ff70df45783f8cf448eeec0eac4d58c664899",NULL,NULL,357,"admin","admin","2016-01-28 12:59:38","2017-07-13 22:14:18","2016-01-28 12:59:38"
37,9,1,1,"Correspondence","39c7a2fcf7dfd32efb5fce10c3d711d49a68ebc3",NULL,NULL,357,"admin","admin","2016-01-28 12:59:38","2017-07-13 22:14:18","2016-01-28 12:59:38"
38,9,1,1,"Programs","2055cd7435c6dad90d1645c0d557c2a6b64752ff",NULL,NULL,357,"admin","admin","2016-01-28 12:59:38","2017-07-13 22:14:18","2016-01-28 12:59:38"
39,9,1,1,"Calendars","ae435171a078bbf1ee21a8f19f5120bd68fdd888",NULL,NULL,357,"admin","admin","2016-01-28 12:59:38","2017-07-13 22:14:18","2016-01-28 12:59:38"
40,9,1,1,"Receipts (Financial records)","8edaa1cc0cb0086825dfa16a975d00e9b94f36f3",NULL,NULL,357,"admin","admin","2016-01-28 12:59:38","2017-07-13 22:14:18","2016-01-28 12:59:38"
41,10,1,1,"Minutes","bf5aee4032a22e93a383873c4a5007d767791994",NULL,NULL,357,"admin","admin","2016-01-28 12:59:38","2017-07-13 22:14:18","2016-01-28 12:59:38"
42,11,1,1,"Clippings","804b7773fc1db94e6626e0a402418838e1009cf2",NULL,NULL,357,"admin","admin","2016-01-28 12:59:38","2017-07-13 22:14:18","2016-01-28 12:59:38"
43,9,1,1,"Pamphlets","97e9adb5170f6e726f4f549dbd17428e04a3b42e",NULL,NULL,357,"admin","admin","2016-01-28 12:59:38","2017-07-13 22:14:18","2016-01-28 12:59:38"
