id,accession_id,resource_id,archival_object_id,digital_object_id,digital_object_component_id,agent_person_id,agent_family_id,agent_corporate_entity_id,agent_software_id,event_id,aspace_relationship_position,"created_by","last_modified_by","system_mtime","user_mtime",role_id,suppressed
1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,3,0,NULL,NULL,"2015-12-16 13:17:43","2015-12-16 13:17:43",228,0
2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,4,0,NULL,NULL,"2015-12-17 22:35:06","2015-12-17 22:35:06",228,0
3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,5,0,NULL,NULL,"2015-12-22 18:21:20","2015-12-22 18:21:20",228,0
4,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,6,0,NULL,NULL,"2016-01-11 10:38:10","2016-01-11 10:38:10",228,0
5,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,7,0,NULL,NULL,"2016-01-15 17:50:32","2016-01-15 17:50:32",228,0
6,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,8,0,NULL,NULL,"2016-01-21 02:58:45","2016-01-21 02:58:45",228,0
7,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,9,0,NULL,NULL,"2016-06-20 17:51:40","2016-06-20 17:51:40",228,0
8,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,10,0,NULL,NULL,"2016-01-24 13:21:28","2016-01-24 13:21:28",228,0
9,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,11,0,NULL,NULL,"2016-01-24 13:21:28","2016-01-24 13:21:28",228,0
10,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,12,0,NULL,NULL,"2016-01-24 13:21:28","2016-01-24 13:21:28",228,0
11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,13,0,NULL,NULL,"2016-01-24 13:21:28","2016-01-24 13:21:28",228,0
12,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,14,0,NULL,NULL,"2016-01-24 13:21:28","2016-01-24 13:21:28",228,0
13,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,15,0,NULL,NULL,"2016-01-24 13:21:28","2016-01-24 13:21:28",228,0
14,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,16,0,NULL,NULL,"2016-01-24 13:21:28","2016-01-24 13:21:28",228,0
15,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,17,0,NULL,NULL,"2016-01-24 13:21:28","2016-01-24 13:21:28",228,0
16,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,18,0,NULL,NULL,"2016-01-24 13:21:28","2016-01-24 13:21:28",228,0
17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,19,0,NULL,NULL,"2016-01-28 12:59:14","2016-01-28 12:59:14",228,0
18,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,20,0,NULL,NULL,"2016-01-28 12:59:14","2016-01-28 12:59:14",228,0
19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,21,0,NULL,NULL,"2016-01-28 12:59:38","2016-01-28 12:59:38",228,0
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,22,0,NULL,NULL,"2016-01-28 12:59:38","2016-01-28 12:59:38",228,0
21,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,23,0,NULL,NULL,"2016-01-28 18:52:05","2016-01-28 18:52:05",228,0
22,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,24,0,NULL,NULL,"2016-02-02 20:08:53","2016-02-02 20:08:53",228,0
23,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,25,0,NULL,NULL,"2016-02-03 16:29:11","2016-02-03 16:29:11",228,0
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,26,0,NULL,NULL,"2016-02-03 16:29:11","2016-02-03 16:29:11",228,0
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,27,0,NULL,NULL,"2016-02-03 16:29:11","2016-02-03 16:29:11",228,0
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,28,0,NULL,NULL,"2016-02-03 16:29:11","2016-02-03 16:29:11",228,0
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,29,0,NULL,NULL,"2016-02-03 16:29:11","2016-02-03 16:29:11",228,0
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,30,0,NULL,NULL,"2016-02-03 16:29:11","2016-02-03 16:29:11",228,0
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,31,0,NULL,NULL,"2016-02-03 16:29:11","2016-02-03 16:29:11",228,0
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,32,0,NULL,NULL,"2016-02-03 16:29:11","2016-02-03 16:29:11",228,0
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,33,0,NULL,NULL,"2016-02-03 16:29:11","2016-02-03 16:29:11",228,0
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,34,0,NULL,NULL,"2016-02-03 16:29:11","2016-02-03 16:29:11",228,0
33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,35,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,36,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,37,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,38,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,39,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,40,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,41,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24,NULL,42,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,NULL,43,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,NULL,44,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,NULL,45,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,NULL,46,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,NULL,47,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL,48,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31,NULL,49,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32,NULL,50,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL,51,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,NULL,52,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35,NULL,53,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36,NULL,54,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,55,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38,NULL,56,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39,NULL,57,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,58,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41,NULL,59,0,NULL,NULL,"2016-02-03 16:29:12","2016-02-03 16:29:12",228,0
