id,lock_version,json_schema_version,digital_object_id,digital_object_component_id,use_statement_id,checksum_method_id,"file_uri",publish,xlink_actuate_attribute_id,xlink_show_attribute_id,file_format_name_id,"file_format_version",file_size_bytes,"checksum","checksum_method","created_by","last_modified_by","create_time","system_mtime","user_mtime",is_representative,"caption"
3,0,1,2,NULL,366,NULL,"uri-1",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"admin","admin","2016-01-20 14:39:07","2016-01-20 14:39:07","2016-01-20 14:39:07",NULL,NULL
4,0,1,2,NULL,368,NULL,"uri-2",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"admin","admin","2016-01-20 14:39:07","2016-01-20 14:39:07","2016-01-20 14:39:07",NULL,NULL
6,0,1,9,NULL,NULL,NULL,"http://digitalassets.ynhsc.edu/ms292_001.tif ",0,925,933,NULL,NULL,NULL,NULL,NULL,"admin","admin","2016-02-10 13:38:59","2016-02-10 13:38:59","2016-02-10 13:38:59",NULL,NULL
7,0,1,10,NULL,NULL,NULL,"http://content.cdlib.org/ark:/13030/abc123drm5/",0,928,929,NULL,NULL,NULL,NULL,NULL,"admin","admin","2016-02-10 13:38:59","2016-02-10 13:38:59","2016-02-10 13:38:59",NULL,NULL
9,0,1,12,NULL,2237,NULL,"DO.URI2-AT",0,927,929,NULL,NULL,NULL,NULL,NULL,"admin","admin","2016-02-11 16:07:47","2016-02-11 16:07:47","2016-02-11 16:07:47",NULL,NULL
10,0,1,13,NULL,2241,NULL,"DO.URI1-AT",0,927,929,NULL,NULL,NULL,NULL,NULL,"admin","admin","2016-02-11 16:07:47","2016-02-11 16:07:47","2016-02-11 16:07:47",NULL,NULL
11,0,1,14,NULL,2242,NULL,"DO.URI3-AT",0,927,929,NULL,NULL,NULL,NULL,NULL,"admin","admin","2016-02-11 16:07:47","2016-02-11 16:07:47","2016-02-11 16:07:47",NULL,NULL
12,0,1,15,NULL,2242,NULL,"DO.Child1URI3-AT",1,928,931,NULL,NULL,NULL,NULL,NULL,"admin","admin","2016-02-11 16:07:47","2016-08-16 17:27:51","2016-02-11 16:07:47",NULL,NULL
13,0,1,16,NULL,2237,NULL,"DO.Child1URI2-AT",0,928,931,NULL,NULL,NULL,NULL,NULL,"admin","admin","2016-02-11 16:07:47","2016-02-11 16:07:47","2016-02-11 16:07:47",NULL,NULL
14,0,1,17,NULL,2241,NULL,"DO.Child1URI1-AT",0,928,931,NULL,NULL,NULL,NULL,NULL,"admin","admin","2016-02-11 16:07:47","2016-02-11 16:07:47","2016-02-11 16:07:47",NULL,NULL
15,0,1,18,NULL,2242,NULL,"DO.Child1URI2-AT",0,928,931,NULL,NULL,NULL,NULL,NULL,"admin","admin","2016-02-11 16:07:47","2016-02-11 16:07:47","2016-02-11 16:07:47",NULL,NULL
16,0,1,19,NULL,2237,NULL,"DO.Child1URI2-AT",0,928,931,NULL,NULL,NULL,NULL,NULL,"admin","admin","2016-02-11 16:07:47","2016-02-11 16:07:47","2016-02-11 16:07:47",NULL,NULL
17,0,1,20,NULL,2241,NULL,"DO.Child1URI2-AT",0,928,931,NULL,NULL,NULL,NULL,NULL,"admin","admin","2016-02-11 16:07:47","2016-02-11 16:07:47","2016-02-11 16:07:47",NULL,NULL
18,0,1,21,NULL,2241,NULL,"DO.Child2-1URI3-AT",0,928,931,NULL,NULL,NULL,NULL,NULL,"admin","admin","2016-02-11 16:07:47","2016-02-11 16:07:47","2016-02-11 16:07:47",NULL,NULL
20,0,1,23,NULL,2241,NULL,"DO.Child2-1URI1-AT",0,928,931,NULL,NULL,NULL,NULL,NULL,"admin","admin","2016-02-11 16:07:47","2016-02-11 16:07:47","2016-02-11 16:07:47",NULL,NULL
21,0,1,26,NULL,NULL,NULL,"http://digitalassets.ynhsc.edu/ms293_001.tif ",0,925,933,NULL,NULL,NULL,NULL,NULL,"admin","admin","2016-04-12 12:50:54","2016-04-12 12:50:54","2016-04-12 12:50:54",NULL,NULL
22,0,1,27,NULL,NULL,NULL,"http://content.cdlib.org/ark:/13030/abc123drm5/",0,928,929,NULL,NULL,NULL,NULL,NULL,"admin","admin","2016-04-12 12:50:54","2016-04-12 12:50:54","2016-04-12 12:50:54",NULL,NULL
23,0,1,28,NULL,NULL,NULL,"http://content.cdlib.org/ark:/13030/abc123drm7",0,928,929,NULL,NULL,NULL,NULL,NULL,"admin","admin","2016-04-12 12:50:54","2016-04-12 12:50:54","2016-04-12 12:50:54",NULL,NULL
36,0,1,41,NULL,NULL,NULL,"http://digitalassets.ynhsc.edu/ms296_001.tif ",0,925,933,NULL,NULL,NULL,NULL,NULL,"admin","admin","2016-04-12 13:40:00","2016-04-12 13:40:00","2016-04-12 13:40:00",NULL,NULL
38,0,1,43,NULL,NULL,NULL,"http://content.cdlib.org/ark:/13030/abc123drm7",0,928,929,NULL,NULL,NULL,NULL,NULL,"admin","admin","2016-04-12 13:40:00","2016-04-12 13:40:00","2016-04-12 13:40:00",NULL,NULL
