id,agent_person_id,agent_software_id,agent_family_id,agent_corporate_entity_id,accession_id,archival_object_id,digital_object_id,digital_object_component_id,event_id,resource_id,aspace_relationship_position,"created_by","last_modified_by","create_time","system_mtime","user_mtime",role_id,relator_id,"title",suppressed,rights_statement_id
1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,0,"admin","admin","2015-12-16 13:17:43","2015-12-16 13:17:43","2015-12-16 13:17:43",232,NULL,NULL,0,NULL
2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,0,"admin","admin","2015-12-17 22:35:06","2015-12-17 22:35:06","2015-12-17 22:35:06",232,NULL,NULL,0,NULL
4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,0,"admin","admin","2015-12-22 18:21:20","2015-12-22 18:21:20","2015-12-22 18:21:20",232,NULL,NULL,0,NULL
5,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,0,"admin","admin","2016-01-11 10:38:10","2016-01-11 10:38:10","2016-01-11 10:38:10",232,NULL,NULL,0,NULL
7,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,0,"admin","admin","2016-01-15 17:50:32","2016-01-15 17:50:32","2016-01-15 17:50:32",232,NULL,NULL,0,NULL
8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,0,"admin","admin","2016-01-21 02:58:45","2016-01-21 02:58:45","2016-01-21 02:58:45",232,NULL,NULL,0,NULL
9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,0,"admin","admin","2016-01-21 02:58:45","2016-01-21 02:58:45","2016-01-21 02:58:45",232,NULL,NULL,0,NULL
16,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,0,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28",232,NULL,NULL,0,NULL
17,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,0,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28",232,NULL,NULL,0,NULL
18,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,0,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28",232,NULL,NULL,0,NULL
19,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,0,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28",232,NULL,NULL,0,NULL
20,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,0,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28",232,NULL,NULL,0,NULL
21,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,0,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28",232,NULL,NULL,0,NULL
22,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,0,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28",232,NULL,NULL,0,NULL
23,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,0,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28",232,NULL,NULL,0,NULL
24,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,0,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28",232,NULL,NULL,0,NULL
25,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,0,"admin","admin","2016-01-24 13:21:29","2016-01-24 13:21:29","2016-01-24 13:21:29",878,NULL,NULL,0,NULL
26,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,1,"admin","admin","2016-01-24 13:21:29","2016-01-24 13:21:29","2016-01-24 13:21:29",880,NULL,NULL,0,NULL
27,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,2,"admin","admin","2016-01-24 13:21:29","2016-01-24 13:21:29","2016-01-24 13:21:29",880,NULL,NULL,0,NULL
