id,lock_version,json_schema_version,"building","title","floor","room","area","barcode","classification","coordinate_1_label","coordinate_1_indicator","coordinate_2_label","coordinate_2_indicator","coordinate_3_label","coordinate_3_indicator",temporary_id,"created_by","last_modified_by","create_time","system_mtime","user_mtime"
1,1,1,"Building","Building, Floor, Room, Stacks [Range: A, Section: 1, Shelf: 1]","Floor","Room","Stacks",NULL,NULL,"Range","A","Section","1","Shelf","1",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-05-05 19:29:09"
2,0,1,"Building","Building, Floor, Room [Range: A, Section: 1, Shelf: 2]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","1","Shelf","2",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
3,0,1,"Building","Building, Floor, Room [Range: A, Section: 1, Shelf: 3]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","1","Shelf","3",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
4,0,1,"Building","Building, Floor, Room [Range: A, Section: 1, Shelf: 4]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","1","Shelf","4",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
5,3,1,"Building","Building, Floor, Room [Range: A, Section: 1, Shelf: 5]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","1","Shelf","5",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2017-04-07 19:29:40"
6,0,1,"Building","Building, Floor, Room [Range: A, Section: 1, Shelf: 6]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","1","Shelf","6",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
7,0,1,"Building","Building, Floor, Room [Range: A, Section: 1, Shelf: 7]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","1","Shelf","7",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
8,0,1,"Building","Building, Floor, Room [Range: A, Section: 1, Shelf: 8]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","1","Shelf","8",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
9,0,1,"Building","Building, Floor, Room [Range: A, Section: 2, Shelf: 1]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","2","Shelf","1",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
10,0,1,"Building","Building, Floor, Room [Range: A, Section: 2, Shelf: 2]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","2","Shelf","2",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
11,0,1,"Building","Building, Floor, Room [Range: A, Section: 2, Shelf: 3]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","2","Shelf","3",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
12,0,1,"Building","Building, Floor, Room [Range: A, Section: 2, Shelf: 4]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","2","Shelf","4",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
13,0,1,"Building","Building, Floor, Room [Range: A, Section: 2, Shelf: 5]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","2","Shelf","5",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
14,0,1,"Building","Building, Floor, Room [Range: A, Section: 2, Shelf: 6]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","2","Shelf","6",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
15,0,1,"Building","Building, Floor, Room [Range: A, Section: 2, Shelf: 7]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","2","Shelf","7",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
16,0,1,"Building","Building, Floor, Room [Range: A, Section: 2, Shelf: 8]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","2","Shelf","8",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
17,0,1,"Building","Building, Floor, Room [Range: A, Section: 3, Shelf: 1]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","3","Shelf","1",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
18,0,1,"Building","Building, Floor, Room [Range: A, Section: 3, Shelf: 2]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","3","Shelf","2",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
19,0,1,"Building","Building, Floor, Room [Range: A, Section: 3, Shelf: 3]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","3","Shelf","3",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
20,0,1,"Building","Building, Floor, Room [Range: A, Section: 3, Shelf: 4]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","3","Shelf","4",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
21,0,1,"Building","Building, Floor, Room [Range: A, Section: 3, Shelf: 5]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","3","Shelf","5",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
22,0,1,"Building","Building, Floor, Room [Range: A, Section: 3, Shelf: 6]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","3","Shelf","6",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
23,0,1,"Building","Building, Floor, Room [Range: A, Section: 3, Shelf: 7]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","3","Shelf","7",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
24,0,1,"Building","Building, Floor, Room [Range: A, Section: 3, Shelf: 8]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","3","Shelf","8",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
25,0,1,"Building","Building, Floor, Room [Range: A, Section: 4, Shelf: 1]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","4","Shelf","1",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
26,0,1,"Building","Building, Floor, Room [Range: A, Section: 4, Shelf: 2]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","4","Shelf","2",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
27,0,1,"Building","Building, Floor, Room [Range: A, Section: 4, Shelf: 3]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","4","Shelf","3",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
28,0,1,"Building","Building, Floor, Room [Range: A, Section: 4, Shelf: 4]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","4","Shelf","4",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
29,0,1,"Building","Building, Floor, Room [Range: A, Section: 4, Shelf: 5]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","4","Shelf","5",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
30,0,1,"Building","Building, Floor, Room [Range: A, Section: 4, Shelf: 6]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","4","Shelf","6",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
31,0,1,"Building","Building, Floor, Room [Range: A, Section: 4, Shelf: 7]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","4","Shelf","7",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
32,0,1,"Building","Building, Floor, Room [Range: A, Section: 4, Shelf: 8]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","4","Shelf","8",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
33,0,1,"Building","Building, Floor, Room [Range: A, Section: 5, Shelf: 1]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","5","Shelf","1",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
34,0,1,"Building","Building, Floor, Room [Range: A, Section: 5, Shelf: 2]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","5","Shelf","2",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
35,0,1,"Building","Building, Floor, Room [Range: A, Section: 5, Shelf: 3]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","5","Shelf","3",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
36,0,1,"Building","Building, Floor, Room [Range: A, Section: 5, Shelf: 4]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","5","Shelf","4",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
37,0,1,"Building","Building, Floor, Room [Range: A, Section: 5, Shelf: 5]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","5","Shelf","5",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
38,0,1,"Building","Building, Floor, Room [Range: A, Section: 5, Shelf: 6]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","5","Shelf","6",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
39,0,1,"Building","Building, Floor, Room [Range: A, Section: 5, Shelf: 7]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","5","Shelf","7",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
40,0,1,"Building","Building, Floor, Room [Range: A, Section: 5, Shelf: 8]","Floor","Room",NULL,NULL,NULL,"Range","A","Section","5","Shelf","8",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
41,0,1,"Building","Building, Floor, Room [Range: B, Section: 1, Shelf: 1]","Floor","Room",NULL,NULL,NULL,"Range","B","Section","1","Shelf","1",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
42,0,1,"Building","Building, Floor, Room [Range: B, Section: 1, Shelf: 2]","Floor","Room",NULL,NULL,NULL,"Range","B","Section","1","Shelf","2",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
43,0,1,"Building","Building, Floor, Room [Range: B, Section: 1, Shelf: 3]","Floor","Room",NULL,NULL,NULL,"Range","B","Section","1","Shelf","3",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
44,0,1,"Building","Building, Floor, Room [Range: B, Section: 1, Shelf: 4]","Floor","Room",NULL,NULL,NULL,"Range","B","Section","1","Shelf","4",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
45,0,1,"Building","Building, Floor, Room [Range: B, Section: 1, Shelf: 5]","Floor","Room",NULL,NULL,NULL,"Range","B","Section","1","Shelf","5",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
46,0,1,"Building","Building, Floor, Room [Range: B, Section: 1, Shelf: 6]","Floor","Room",NULL,NULL,NULL,"Range","B","Section","1","Shelf","6",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
47,0,1,"Building","Building, Floor, Room [Range: B, Section: 1, Shelf: 7]","Floor","Room",NULL,NULL,NULL,"Range","B","Section","1","Shelf","7",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
48,0,1,"Building","Building, Floor, Room [Range: B, Section: 1, Shelf: 8]","Floor","Room",NULL,NULL,NULL,"Range","B","Section","1","Shelf","8",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
49,0,1,"Building","Building, Floor, Room [Range: B, Section: 2, Shelf: 1]","Floor","Room",NULL,NULL,NULL,"Range","B","Section","2","Shelf","1",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
50,0,1,"Building","Building, Floor, Room [Range: B, Section: 2, Shelf: 2]","Floor","Room",NULL,NULL,NULL,"Range","B","Section","2","Shelf","2",NULL,"admin","admin","2016-01-11 14:34:25","2017-07-13 22:14:18","2016-01-11 14:34:25"
