id,lock_version,json_schema_version,agent_person_id,"primary_name",name_order_id,"title","prefix","rest_of_name","suffix","fuller_form","number","dates","qualifier",source_id,rules_id,"sort_name",sort_name_auto_generate,"created_by","last_modified_by","create_time","system_mtime","user_mtime",authorized,is_display_name
1,0,1,1,"Administrator",947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,236,240,"Administrator",1,NULL,NULL,"2015-12-08 18:55:13","2015-12-08 18:55:13","2015-12-08 18:55:13",1,1
2,0,1,2,"foo",947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,236,240,"foo",1,"admin","admin","2016-01-11 10:38:09","2016-01-11 10:38:09","2016-01-11 10:38:09",1,1
3,0,1,3,"lalala",947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,236,240,"lalala",1,"admin","admin","2016-01-15 17:50:32","2016-01-15 17:50:32","2016-01-15 17:50:32",1,1
6,0,1,6,"Berlandier, Jean Louis, d. 1851.",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1802,NULL,"Berlandier, Jean Louis, d. 1851.",1,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28",1,1
8,0,1,8,"Chovell, Rafael.",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1802,NULL,"Chovell, Rafael.",1,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28",1,1
9,0,1,9,"Mier y Teran, Manuel de.",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1802,NULL,"Mier y Teran, Manuel de.",1,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28",1,1
10,0,1,10,"Músquiz, Ramón.",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1802,NULL,"Músquiz, Ramón.",1,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28",1,1
11,0,1,11,"Toqui, Juan Bautista.",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1802,NULL,"Toqui, Juan Bautista.",1,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28",1,1
12,0,1,12,"Villareal, José M.",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1802,NULL,"Villareal, José M.",1,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28",1,1
13,0,1,13,"Wagner, Henry Raup, 1862-1957, collector.",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1802,NULL,"Wagner, Henry Raup, 1862-1957, collector.",1,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28",1,1
14,0,1,14,"McLeod, John E.",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1845,1846,"McLeod, John E.",1,"admin","admin","2016-01-28 12:59:14","2016-01-28 12:59:14","2016-01-28 12:59:14",1,1
15,0,1,15,"Daniel Weddington",947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,236,240,"Daniel Weddington",1,NULL,NULL,"2016-01-28 18:52:05","2016-01-28 18:52:05","2016-01-28 18:52:05",1,1
16,0,1,16,"Robert Lay",947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,236,240,"Robert Lay",1,NULL,NULL,"2016-02-02 20:08:53","2016-02-02 20:08:53","2016-02-02 20:08:53",1,1
17,0,1,17,"DiBona, Joseph E.",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1802,NULL,"DiBona, Joseph E.",1,"admin","admin","2016-02-03 16:29:11","2016-02-03 16:29:11","2016-02-03 16:29:11",1,1
19,0,1,19,"Brainard, Joe, 1942-",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Brainard, Joe, 1942-",1,"admin","admin","2016-02-05 21:24:49","2016-02-05 21:24:49","2016-02-05 21:24:49",1,1
20,0,1,20,"Brainard, Joe, 1942- -- Archives",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Brainard, Joe, 1942- -- Archives",1,"admin","admin","2016-02-05 21:24:49","2016-02-05 21:24:49","2016-02-05 21:24:49",1,1
21,0,1,21,"Brainard, Joe, 1942- , -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Brainard, Joe, 1942- , -- correspondent",1,"admin","admin","2016-02-05 21:24:49","2016-02-05 21:24:49","2016-02-05 21:24:49",1,1
22,0,1,22,"Berkson, Bill, -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Berkson, Bill, -- correspondent",1,"admin","admin","2016-02-05 21:24:49","2016-02-05 21:24:49","2016-02-05 21:24:49",1,1
23,0,1,23,"Thomson, Virgil, 1896- -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Thomson, Virgil, 1896- -- correspondent",1,"admin","admin","2016-02-05 21:24:49","2016-02-05 21:24:49","2016-02-05 21:24:49",1,1
24,0,1,24,"Greenwald, Ted, -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Greenwald, Ted, -- correspondent",1,"admin","admin","2016-02-05 21:24:49","2016-02-05 21:24:49","2016-02-05 21:24:49",1,1
25,0,1,25,"Fagin, Larry, -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Fagin, Larry, -- correspondent",1,"admin","admin","2016-02-05 21:24:49","2016-02-05 21:24:49","2016-02-05 21:24:49",1,1
26,0,1,26,"Padgett, Ron, -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Padgett, Ron, -- correspondent",1,"admin","admin","2016-02-05 21:24:49","2016-02-05 21:24:49","2016-02-05 21:24:49",1,1
27,0,1,27,"Brainard, Joe, 1942- -- artist",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Brainard, Joe, 1942- -- artist",1,"admin","admin","2016-02-05 21:24:49","2016-02-05 21:24:49","2016-02-05 21:24:49",1,1
28,0,1,28,"Clark, Tom, 1941- -- artist",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Clark, Tom, 1941- -- artist",1,"admin","admin","2016-02-05 21:24:49","2016-02-05 21:24:49","2016-02-05 21:24:49",1,1
29,0,1,29,"Katz, Alex, 1927- -- artist",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Katz, Alex, 1927- -- artist",1,"admin","admin","2016-02-05 21:24:49","2016-02-05 21:24:49","2016-02-05 21:24:49",1,1
30,0,1,30,"Padgett, Ron, -- artist",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Padgett, Ron, -- artist",1,"admin","admin","2016-02-05 21:24:49","2016-02-05 21:24:49","2016-02-05 21:24:49",1,1
31,0,1,31,"Berrigan, Ted",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Berrigan, Ted",1,"admin","admin","2016-02-05 21:24:49","2016-02-05 21:24:49","2016-02-05 21:24:49",1,1
32,0,1,32,"Kikel, Rudy, 1943-",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Kikel, Rudy, 1943-",1,"admin","admin","2016-02-05 21:24:49","2016-02-05 21:24:49","2016-02-05 21:24:49",1,1
33,0,1,33,"United Artists (New York, N.Y.) -- Archives",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"United Artists (New York, N.Y.) -- Archives",1,"admin","admin","2016-02-05 21:39:24","2016-02-05 21:39:24","2016-02-05 21:39:24",1,1
34,0,1,34,"Warsh, Lewis -- Archives",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Warsh, Lewis -- Archives",1,"admin","admin","2016-02-05 21:39:24","2016-02-05 21:39:24","2016-02-05 21:39:24",1,1
35,0,1,35,"Mayer, Bernadette -- Archives",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Mayer, Bernadette -- Archives",1,"admin","admin","2016-02-05 21:39:25","2016-02-05 21:39:25","2016-02-05 21:39:25",1,1
36,0,1,36,"Bernstein, Charles, 1950- -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Bernstein, Charles, 1950- -- correspondent",1,"admin","admin","2016-02-05 21:39:25","2016-02-05 21:39:25","2016-02-05 21:39:25",1,1
37,0,1,37,"Berrigan, Ted, -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Berrigan, Ted, -- correspondent",1,"admin","admin","2016-02-05 21:39:25","2016-02-05 21:39:25","2016-02-05 21:39:25",1,1
38,0,1,38,"Brainard, Joe, 1942- -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Brainard, Joe, 1942- -- correspondent",1,"admin","admin","2016-02-05 21:39:25","2016-02-05 21:39:25","2016-02-05 21:39:25",1,1
39,0,1,39,"Callahan, Bob, -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Callahan, Bob, -- correspondent",1,"admin","admin","2016-02-05 21:39:25","2016-02-05 21:39:25","2016-02-05 21:39:25",1,1
40,0,1,40,"Coolidge, Clark, 1939- -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Coolidge, Clark, 1939- -- correspondent",1,"admin","admin","2016-02-05 21:39:25","2016-02-05 21:39:25","2016-02-05 21:39:25",1,1
41,0,1,41,"Corbett, William, -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Corbett, William, -- correspondent",1,"admin","admin","2016-02-05 21:39:25","2016-02-05 21:39:25","2016-02-05 21:39:25",1,1
42,0,1,42,"Corso, Gregory, -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Corso, Gregory, -- correspondent",1,"admin","admin","2016-02-05 21:39:25","2016-02-05 21:39:25","2016-02-05 21:39:25",1,1
43,0,1,43,"Creeley, Robert, 1926- -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Creeley, Robert, 1926- -- correspondent",1,"admin","admin","2016-02-05 21:39:25","2016-02-05 21:39:25","2016-02-05 21:39:25",1,1
44,0,1,44,"Davies, Alan, -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Davies, Alan, -- correspondent",1,"admin","admin","2016-02-05 21:39:25","2016-02-05 21:39:25","2016-02-05 21:39:25",1,1
45,0,1,45,"Elmslie, Kenward, -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Elmslie, Kenward, -- correspondent",1,"admin","admin","2016-02-05 21:39:25","2016-02-05 21:39:25","2016-02-05 21:39:25",1,1
46,0,1,46,"Ginsberg, Allen, 1926- -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Ginsberg, Allen, 1926- -- correspondent",1,"admin","admin","2016-02-05 21:39:25","2016-02-05 21:39:25","2016-02-05 21:39:25",1,1
47,0,1,47,"Howe, Fanny, -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Howe, Fanny, -- correspondent",1,"admin","admin","2016-02-05 21:39:25","2016-02-05 21:39:25","2016-02-05 21:39:25",1,1
48,0,1,48,"Howe, Susan, 1937- -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Howe, Susan, 1937- -- correspondent",1,"admin","admin","2016-02-05 21:39:25","2016-02-05 21:39:25","2016-02-05 21:39:25",1,1
49,0,1,49,"Mac Low, Jackson, -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Mac Low, Jackson, -- correspondent",1,"admin","admin","2016-02-05 21:39:25","2016-02-05 21:39:25","2016-02-05 21:39:25",1,1
50,0,1,50,"Metcalf, Paul C., -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Metcalf, Paul C., -- correspondent",1,"admin","admin","2016-02-05 21:39:25","2016-02-05 21:39:25","2016-02-05 21:39:25",1,1
51,0,1,51,"Notley, Alice, 1945- -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Notley, Alice, 1945- -- correspondent",1,"admin","admin","2016-02-05 21:39:25","2016-02-05 21:39:25","2016-02-05 21:39:25",1,1
52,0,1,52,"Palmer, Michael, 1943- -- correspondent",946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1840,NULL,"Palmer, Michael, 1943- -- correspondent",1,"admin","admin","2016-02-05 21:39:25","2016-02-05 21:39:25","2016-02-05 21:39:25",1,1
