id,note_id,"persistent_id","parent_type",parent_id
432,432,"b3ec85e12ed3547bc4327e60b45d6eb7","resource",19
433,433,"aspace_e3b6718e4dfb291c037cbd511da28cbb","resource",19
434,434,"aspace_af183d371fdc605123a33b170c7457d5","resource",19
435,435,"aspace_7aade18f3e76652ff720f984107b47ad","resource",19
436,436,"aspace_3a575f7fc54a991f7a065d3b5eaf5a84","resource",19
437,437,"aspace_abc9b5f06e336aeb1ff77359b04004c5","resource",19
438,438,"aspace_85679b4cdfc70acc9f25fd44c362f94d","resource",19
439,439,"aspace_818fda9620328f908b069bb31e04eda5","resource",19
440,440,"aspace_d021740f115d54b180ef644d29c8ac41","resource",19
441,441,"aspace_cb4beb7d0c8e318e91490eed9f646c6c","resource",19
442,442,"aspace_59ed3fca179658420243664153569089","resource",19
443,443,"aspace_08b97ea81a593798b78480008c281121","resource",19
444,444,"aspace_18d10b5fada2a7703b2de195902ebf31","resource",19
445,445,"aspace_e8df9e8d6dba421038bd940e44636b0d","resource",19
446,446,"aspace_758f128673176febdd1879c966c39c77","resource",19
447,447,"aspace_f7130c27d7d17b90aa82e49a042befd8","resource",19
448,448,"aspace_f60f351235b22074bb5722a147781d83","resource",19
449,449,"aspace_15372ceb022ab75cb827fb2824b44cc7","resource",19
450,450,"aspace_294e6741e6165e4446c9ce0dbd84b366","resource",19
451,451,"aspace_4530e0fb8fe413d32e3723f739a86f88","resource",19
452,452,"aspace_a86f8978f085db67a1cc8144d2dfaad1","resource",19
453,453,"aspace_c15410be355abc04b9759f286f4fa3e3","resource",19
454,454,"aspace_fac30adbb549318e49b573fb7ce8eef7","resource",19
455,455,"aspace_41212f4a9680bd0e756f0ccf2566d1bd","resource",19
456,456,"aspace_b00676942a78ac12f7279c842cb3e001","resource",19
457,457,"aspace_b04554085e960895b3369f22155fb982","resource",19
458,458,"aspace_710fd2747ac80bd626908562e57a2da3","resource",19
459,459,"aspace_e09c917a2fcfcdce705c9d90ec42e053","resource",19
460,460,"aspace_1b4aaa9bc12b2fe942b89b9216b615a1","resource",19
461,461,"aspace_9cb7e55c3db68c88ee0cb5a1d84e801d","resource",19
462,462,"aspace_6651a754697e88c01667c19050a6f37f","resource",19
463,463,"aspace_61985463f3223687874da5bcf4c840de","resource",19
464,464,"aspace_54bdf36526c6d0cef7b75c873c01b4be","resource",19
465,465,"aspace_9389a9104bd7fd2010008b007cfe327c","resource",19
466,466,"aspace_6d25245aadb153c25e332961ab50e810","resource",19
467,467,"aspace_c9afeab5f82a648fdc78f7561440f2de","resource",19
468,468,"aspace_bbe860252c3fee8d18bf25a653c6115f","resource",19
469,469,"aspace_9f16439c24828f5523312c23035768f5","resource",19
470,470,"aspace_54081b74f2cc6534c42ed86fedc870d3","resource",19
471,471,"aspace_ab1460bd5dddef86ad91785c4ae710a2","resource",19
472,472,"aspace_c03b9f5b12f0ab8c8d9d1d6a30f33ebc","resource",19
473,473,"aspace_beb972250ab4034b4d1e577f693b2c66","resource",19
474,474,"aspace_b5eef99c0ef62f38ff80169dce1f854c","resource",19
475,475,"aspace_938f146f7fa2faf569bdca4ca04c7998","resource",19
476,476,"aspace_1c57e30f3eff2738b0a0a8633b2777f5","resource",19
477,477,"aspace_c04b981f4451a1ba813e33308f5be398","resource",19
478,478,"aspace_429806c2528b2fa83a5eb7cae938d97f","resource",19
479,479,"aspace_198a73b6e6799ecd7c206be7c24f71a6","resource",19
480,480,"aspace_a1898e883bec9492ffb0a175d3c9dde5","resource",19
481,481,"aspace_8de71e70e22c5e9a4d6a95c34a5e5bda","resource",19
482,482,"aspace_03a75ca19a3961e3b22aef1736b9caba","resource",19
483,483,"aspace_398b6d6e0dda6408d9b4dec953289f79","resource",19
484,484,"aspace_011888d2f4aebd8e08a4b9e4f6eeafab","resource",19
485,485,"aspace_283f527fd3b84ef21ba53c00fd6bc83f","resource",19
486,486,"aspace_545e1608950c7d1be9b14ab3ac5e97c6","resource",19
487,487,"aspace_e0385b5689d43635620f57a7f43655f8","resource",19
488,488,"aspace_ce7d27d4a9444f2ea4a48a1da5017e3c","resource",19
