"sequence_name",value
"/repositories/10/archival_objects/21850_children_position",5
"/repositories/10/archival_objects/25490_children_position",25
"/repositories/10/archival_objects/25491_children_position",21
"/repositories/10/archival_objects/25492_children_position",1
"/repositories/10/archival_objects/25549_children_position",1
"/repositories/10/archival_objects/25550_children_position",0
"/repositories/10/archival_objects/25552_children_position",0
"/repositories/10/resources/139_children_position",0
"/repositories/10/resources/184_children_position",3
"/repositories/10/resources/203_children_position",0
"/repositories/11/archival_objects/22286_children_position",0
"/repositories/11/archival_objects/28268_children_position",0
"/repositories/11/archival_objects/28272_children_position",0
"/repositories/11/archival_objects/28273_children_position",0
"/repositories/11/archival_objects/28274_children_position",0
"/repositories/11/archival_objects/28280_children_position",4
"/repositories/11/archival_objects/28282_children_position",2
"/repositories/11/resources/143_children_position",0
"/repositories/11/resources/144_children_position",0
"/repositories/11/resources/146_children_position",0
"/repositories/11/resources/201_children_position",1
"/repositories/11/resources/202_children_position",1
"/repositories/11/resources/204_children_position",8
"/repositories/12/archival_objects/44874_children_position",1
"/repositories/12/archival_objects/44875_children_position",7
"/repositories/12/archival_objects/44876_children_position",1
"/repositories/12/archival_objects/44877_children_position",1
"/repositories/12/archival_objects/44878_children_position",1
"/repositories/12/archival_objects/44879_children_position",14
"/repositories/12/archival_objects/44880_children_position",3
"/repositories/12/archival_objects/44881_children_position",23
"/repositories/12/archival_objects/44882_children_position",1
"/repositories/12/archival_objects/44883_children_position",3
"/repositories/12/archival_objects/44884_children_position",5
"/repositories/12/archival_objects/44885_children_position",8
"/repositories/12/archival_objects/44886_children_position",1
"/repositories/12/archival_objects/44887_children_position",4
"/repositories/12/archival_objects/44888_children_position",1
"/repositories/12/archival_objects/44889_children_position",4
"/repositories/12/archival_objects/44890_children_position",6
"/repositories/12/archival_objects/44891_children_position",72
"/repositories/12/archival_objects/44892_children_position",25
"/repositories/12/archival_objects/44893_children_position",383
"/repositories/12/archival_objects/44894_children_position",37
"/repositories/12/archival_objects/44895_children_position",193
"/repositories/12/archival_objects/44896_children_position",563
"/repositories/12/archival_objects/44897_children_position",3
"/repositories/12/archival_objects/44898_children_position",7
"/repositories/12/archival_objects/44899_children_position",9
"/repositories/12/archival_objects/44900_children_position",33
"/repositories/12/archival_objects/44901_children_position",0
"/repositories/12/archival_objects/44902_children_position",105
"/repositories/12/archival_objects/44903_children_position",0
"/repositories/12/archival_objects/44904_children_position",0
"/repositories/12/archival_objects/44905_children_position",0
"/repositories/12/archival_objects/44906_children_position",15
"/repositories/12/archival_objects/44907_children_position",0
"/repositories/12/archival_objects/44908_children_position",0
"/repositories/12/archival_objects/44909_children_position",4
"/repositories/12/archival_objects/44910_children_position",6
"/repositories/12/archival_objects/44911_children_position",5
"/repositories/12/archival_objects/44916_children_position",1
"/repositories/12/archival_objects/44918_children_position",9
"/repositories/12/archival_objects/44919_children_position",1
"/repositories/12/archival_objects/44924_children_position",18
"/repositories/12/archival_objects/44926_children_position",9
"/repositories/12/archival_objects/44927_children_position",15
"/repositories/12/archival_objects/44928_children_position",1
"/repositories/12/archival_objects/44940_children_position",48
"/repositories/12/archival_objects/44941_children_position",178
"/repositories/12/archival_objects/44942_children_position",21
"/repositories/12/archival_objects/44943_children_position",12
"/repositories/12/archival_objects/44944_children_position",4
"/repositories/12/archival_objects/44945_children_position",30
"/repositories/12/archival_objects/44946_children_position",19
"/repositories/12/archival_objects/44947_children_position",10
"/repositories/12/archival_objects/44948_children_position",10
"/repositories/12/archival_objects/44949_children_position",5
"/repositories/12/archival_objects/44950_children_position",0
"/repositories/12/archival_objects/44951_children_position",1
"/repositories/12/archival_objects/44952_children_position",1
"/repositories/12/archival_objects/44953_children_position",1
"/repositories/12/archival_objects/44954_children_position",1
"/repositories/12/archival_objects/44955_children_position",9
"/repositories/12/archival_objects/44956_children_position",16
"/repositories/12/archival_objects/44957_children_position",8
"/repositories/12/archival_objects/44958_children_position",1
"/repositories/12/archival_objects/44959_children_position",0
"/repositories/12/archival_objects/44960_children_position",7
"/repositories/12/archival_objects/44961_children_position",1
"/repositories/12/archival_objects/44962_children_position",264
"/repositories/12/archival_objects/44963_children_position",185
"/repositories/12/archival_objects/44964_children_position",2
"/repositories/12/archival_objects/44965_children_position",14
"/repositories/12/archival_objects/44966_children_position",1
"/repositories/12/archival_objects/44967_children_position",11
"/repositories/12/archival_objects/44968_children_position",214
"/repositories/12/archival_objects/44969_children_position",190
"/repositories/12/archival_objects/44970_children_position",225
"/repositories/12/archival_objects/44971_children_position",7
"/repositories/12/archival_objects/44972_children_position",221
"/repositories/12/archival_objects/44973_children_position",14
"/repositories/12/archival_objects/44974_children_position",2
"/repositories/12/archival_objects/44975_children_position",3
"/repositories/12/archival_objects/44976_children_position",1
"/repositories/12/archival_objects/44977_children_position",2
"/repositories/12/archival_objects/44978_children_position",1
"/repositories/12/archival_objects/44979_children_position",3
"/repositories/12/archival_objects/44980_children_position",1
"/repositories/12/archival_objects/44981_children_position",1
"/repositories/12/archival_objects/45055_children_position",1
"/repositories/12/archival_objects/45056_children_position",1
"/repositories/12/archival_objects/45057_children_position",1
"/repositories/12/archival_objects/45058_children_position",1
"/repositories/12/archival_objects/45059_children_position",1
"/repositories/12/archival_objects/45060_children_position",1
"/repositories/12/archival_objects/45061_children_position",1
"/repositories/12/archival_objects/45062_children_position",1
"/repositories/12/archival_objects/45063_children_position",1
"/repositories/12/archival_objects/45064_children_position",1
"/repositories/12/archival_objects/45065_children_position",1
"/repositories/12/archival_objects/45066_children_position",1
"/repositories/12/archival_objects/45067_children_position",1
"/repositories/12/archival_objects/45068_children_position",1
"/repositories/12/archival_objects/45069_children_position",1
"/repositories/12/archival_objects/45070_children_position",1
"/repositories/12/archival_objects/45071_children_position",1
"/repositories/12/archival_objects/45072_children_position",1
"/repositories/12/archival_objects/45073_children_position",1
"/repositories/12/archival_objects/45074_children_position",1
"/repositories/12/archival_objects/45075_children_position",1
"/repositories/12/archival_objects/45076_children_position",1
"/repositories/12/archival_objects/45077_children_position",1
"/repositories/12/archival_objects/45078_children_position",1
"/repositories/12/archival_objects/45079_children_position",1
"/repositories/12/archival_objects/45080_children_position",1
"/repositories/12/archival_objects/45507_children_position",3
"/repositories/12/archival_objects/45510_children_position",6
"/repositories/12/archival_objects/45514_children_position",0
"/repositories/12/archival_objects/45515_children_position",0
"/repositories/12/archival_objects/45520_children_position",12
"/repositories/12/archival_objects/45521_children_position",5
"/repositories/12/archival_objects/45523_children_position",17
"/repositories/12/archival_objects/45529_children_position",2
"/repositories/12/archival_objects/45530_children_position",0
"/repositories/12/archival_objects/45537_children_position",18
"/repositories/12/archival_objects/45539_children_position",1
"/repositories/12/archival_objects/45546_children_position",1
"/repositories/12/archival_objects/45551_children_position",3
"/repositories/12/archival_objects/45555_children_position",1
"/repositories/12/archival_objects/45557_children_position",3
"/repositories/12/archival_objects/45567_children_position",4
"/repositories/12/archival_objects/45570_children_position",2
"/repositories/12/archival_objects/45576_children_position",2
"/repositories/12/archival_objects/45578_children_position",1
"/repositories/12/archival_objects/45582_children_position",25
"/repositories/12/archival_objects/45584_children_position",1
"/repositories/12/archival_objects/45590_children_position",0
"/repositories/12/archival_objects/45591_children_position",0
"/repositories/12/archival_objects/45597_children_position",1
"/repositories/12/archival_objects/45598_children_position",2
"/repositories/12/archival_objects/45604_children_position",2
"/repositories/12/archival_objects/45607_children_position",1
"/repositories/12/archival_objects/45611_children_position",18
"/repositories/12/archival_objects/45612_children_position",4
"/repositories/12/archival_objects/45614_children_position",3
"/repositories/12/archival_objects/45616_children_position",2
"/repositories/12/archival_objects/45620_children_position",2
"/repositories/12/archival_objects/45621_children_position",2
"/repositories/12/archival_objects/45624_children_position",2
"/repositories/12/archival_objects/45631_children_position",1
"/repositories/12/archival_objects/45634_children_position",1
"/repositories/12/archival_objects/45636_children_position",1
"/repositories/12/archival_objects/45637_children_position",2
"/repositories/12/archival_objects/45640_children_position",2
"/repositories/12/archival_objects/45655_children_position",1
"/repositories/12/archival_objects/45659_children_position",2
"/repositories/12/archival_objects/45662_children_position",2
"/repositories/12/archival_objects/45669_children_position",2
"/repositories/12/archival_objects/45672_children_position",25
"/repositories/12/archival_objects/45674_children_position",1
"/repositories/12/archival_objects/45677_children_position",1
"/repositories/12/archival_objects/45679_children_position",1
"/repositories/12/archival_objects/45683_children_position",1
"/repositories/12/archival_objects/45696_children_position",4
"/repositories/12/archival_objects/46318_children_position",0
"/repositories/12/archival_objects/46319_children_position",5
"/repositories/12/archival_objects/46320_children_position",16
"/repositories/12/archival_objects/46321_children_position",4
"/repositories/12/archival_objects/46322_children_position",0
"/repositories/12/archival_objects/46323_children_position",8
"/repositories/12/archival_objects/46324_children_position",16
"/repositories/12/archival_objects/46325_children_position",1
"/repositories/12/archival_objects/46326_children_position",0
"/repositories/12/archival_objects/46327_children_position",0
"/repositories/12/archival_objects/46328_children_position",1
"/repositories/12/archival_objects/46329_children_position",0
"/repositories/12/archival_objects/46330_children_position",0
"/repositories/12/archival_objects/46331_children_position",13
"/repositories/12/archival_objects/46332_children_position",10
"/repositories/12/archival_objects/46333_children_position",1
"/repositories/12/archival_objects/46334_children_position",3
"/repositories/12/archival_objects/46335_children_position",4
"/repositories/12/archival_objects/46336_children_position",0
"/repositories/12/archival_objects/46337_children_position",1
"/repositories/12/archival_objects/46338_children_position",2
"/repositories/12/archival_objects/46339_children_position",0
"/repositories/12/archival_objects/46340_children_position",0
"/repositories/12/archival_objects/46341_children_position",3
"/repositories/12/archival_objects/46342_children_position",0
"/repositories/12/archival_objects/46343_children_position",4
"/repositories/12/archival_objects/46344_children_position",0
"/repositories/12/archival_objects/46345_children_position",6
"/repositories/12/archival_objects/46346_children_position",5
"/repositories/12/archival_objects/46347_children_position",0
"/repositories/12/archival_objects/46348_children_position",0
"/repositories/12/archival_objects/46349_children_position",0
"/repositories/12/archival_objects/46350_children_position",1
"/repositories/12/archival_objects/46351_children_position",1
"/repositories/12/archival_objects/46352_children_position",2
"/repositories/12/archival_objects/46353_children_position",1
"/repositories/12/archival_objects/46354_children_position",0
"/repositories/12/archival_objects/46355_children_position",0
"/repositories/12/archival_objects/46356_children_position",10
"/repositories/12/archival_objects/46357_children_position",1
"/repositories/12/archival_objects/46358_children_position",5
"/repositories/12/archival_objects/46359_children_position",0
"/repositories/12/archival_objects/46360_children_position",1
"/repositories/12/archival_objects/46361_children_position",0
"/repositories/12/archival_objects/46362_children_position",1
"/repositories/12/archival_objects/46363_children_position",0
"/repositories/12/archival_objects/46364_children_position",1
"/repositories/12/archival_objects/46365_children_position",13
"/repositories/12/archival_objects/46366_children_position",0
"/repositories/12/archival_objects/46367_children_position",0
"/repositories/12/archival_objects/46368_children_position",5
"/repositories/12/archival_objects/46369_children_position",0
"/repositories/12/archival_objects/46370_children_position",0
"/repositories/12/archival_objects/46371_children_position",10
"/repositories/12/archival_objects/46372_children_position",1
"/repositories/12/archival_objects/46373_children_position",0
"/repositories/12/archival_objects/46374_children_position",4
"/repositories/12/archival_objects/46375_children_position",2
"/repositories/12/archival_objects/46376_children_position",1
"/repositories/12/archival_objects/46377_children_position",7
"/repositories/12/archival_objects/46378_children_position",4
"/repositories/12/archival_objects/46379_children_position",2
"/repositories/12/archival_objects/46380_children_position",1
"/repositories/12/archival_objects/46381_children_position",8
"/repositories/12/archival_objects/46382_children_position",0
"/repositories/12/archival_objects/46383_children_position",8
"/repositories/12/archival_objects/46384_children_position",5
"/repositories/12/archival_objects/46385_children_position",4
"/repositories/12/archival_objects/46386_children_position",14
"/repositories/12/archival_objects/46387_children_position",10
"/repositories/12/archival_objects/46388_children_position",0
"/repositories/12/archival_objects/46389_children_position",2
"/repositories/12/archival_objects/46390_children_position",0
"/repositories/12/archival_objects/46391_children_position",8
"/repositories/12/archival_objects/46392_children_position",12
"/repositories/12/archival_objects/46393_children_position",0
"/repositories/12/archival_objects/46394_children_position",4
"/repositories/12/archival_objects/46395_children_position",3
"/repositories/12/archival_objects/46396_children_position",8
"/repositories/12/archival_objects/46397_children_position",13
"/repositories/12/archival_objects/46398_children_position",12
"/repositories/12/archival_objects/46399_children_position",6
"/repositories/12/archival_objects/46400_children_position",0
"/repositories/12/archival_objects/46401_children_position",4
"/repositories/12/archival_objects/46402_children_position",0
"/repositories/12/archival_objects/46403_children_position",6
"/repositories/12/archival_objects/46404_children_position",3
"/repositories/12/archival_objects/46405_children_position",3
"/repositories/12/archival_objects/46406_children_position",5
"/repositories/12/archival_objects/46407_children_position",0
"/repositories/12/archival_objects/46408_children_position",10
"/repositories/12/archival_objects/46409_children_position",5
"/repositories/12/archival_objects/46410_children_position",19
"/repositories/12/archival_objects/46411_children_position",2
"/repositories/12/archival_objects/46412_children_position",0
"/repositories/12/archival_objects/46413_children_position",3
"/repositories/12/archival_objects/46414_children_position",7
"/repositories/12/archival_objects/46415_children_position",0
"/repositories/12/archival_objects/46416_children_position",2
"/repositories/12/archival_objects/46417_children_position",1
"/repositories/12/archival_objects/46418_children_position",1
"/repositories/12/archival_objects/46419_children_position",0
"/repositories/12/archival_objects/46420_children_position",12
"/repositories/12/archival_objects/46421_children_position",7
"/repositories/12/archival_objects/46422_children_position",0
"/repositories/12/archival_objects/46423_children_position",0
"/repositories/12/archival_objects/46457_children_position",0
"/repositories/12/archival_objects/46458_children_position",1
"/repositories/12/archival_objects/46459_children_position",4
"/repositories/12/archival_objects/46460_children_position",0
"/repositories/12/archival_objects/46461_children_position",1
"/repositories/12/archival_objects/46462_children_position",1
"/repositories/12/archival_objects/46823_children_position",8
"/repositories/12/archival_objects/46824_children_position",25
"/repositories/12/archival_objects/46825_children_position",37
"/repositories/12/archival_objects/46826_children_position",5
"/repositories/12/archival_objects/46827_children_position",1
"/repositories/12/archival_objects/46828_children_position",1
"/repositories/12/archival_objects/46829_children_position",9
"/repositories/12/archival_objects/46830_children_position",7
"/repositories/12/archival_objects/46831_children_position",12
"/repositories/12/archival_objects/46832_children_position",3
"/repositories/12/archival_objects/46833_children_position",2
"/repositories/12/archival_objects/46834_children_position",6
"/repositories/12/archival_objects/46835_children_position",1
"/repositories/12/archival_objects/46836_children_position",1
"/repositories/12/archival_objects/46837_children_position",9
"/repositories/12/archival_objects/46838_children_position",4
"/repositories/12/archival_objects/46839_children_position",2
"/repositories/12/archival_objects/46840_children_position",9
"/repositories/12/archival_objects/46841_children_position",23
"/repositories/12/archival_objects/46842_children_position",7
"/repositories/12/archival_objects/46843_children_position",24
"/repositories/12/archival_objects/46844_children_position",7
"/repositories/12/archival_objects/46845_children_position",0
"/repositories/12/archival_objects/46846_children_position",4
