id,accession_id,archival_object_id,resource_id,digital_object_id,digital_object_component_id,subject_id,aspace_relationship_position,"created_by","last_modified_by","system_mtime","user_mtime",suppressed
17,NULL,NULL,19,NULL,NULL,7,0,NULL,NULL,"2016-01-24 13:21:29","2016-01-24 13:21:29",0
18,NULL,NULL,19,NULL,NULL,8,1,NULL,NULL,"2016-01-24 13:21:29","2016-01-24 13:21:29",0
19,NULL,NULL,19,NULL,NULL,9,2,NULL,NULL,"2016-01-24 13:21:29","2016-01-24 13:21:29",0
20,NULL,NULL,19,NULL,NULL,10,3,NULL,NULL,"2016-01-24 13:21:29","2016-01-24 13:21:29",0
21,NULL,NULL,19,NULL,NULL,11,4,NULL,NULL,"2016-01-24 13:21:29","2016-01-24 13:21:29",0
22,NULL,NULL,19,NULL,NULL,12,5,NULL,NULL,"2016-01-24 13:21:29","2016-01-24 13:21:29",0
23,NULL,NULL,19,NULL,NULL,13,6,NULL,NULL,"2016-01-24 13:21:29","2016-01-24 13:21:29",0
24,NULL,NULL,19,NULL,NULL,14,7,NULL,NULL,"2016-01-24 13:21:29","2016-01-24 13:21:29",0
25,NULL,NULL,19,NULL,NULL,15,8,NULL,NULL,"2016-01-24 13:21:29","2016-01-24 13:21:29",0
26,NULL,NULL,19,NULL,NULL,16,9,NULL,NULL,"2016-01-24 13:21:29","2016-01-24 13:21:29",0
27,NULL,NULL,19,NULL,NULL,17,10,NULL,NULL,"2016-01-24 13:21:29","2016-01-24 13:21:29",0
28,NULL,NULL,19,NULL,NULL,18,11,NULL,NULL,"2016-01-24 13:21:29","2016-01-24 13:21:29",0
29,NULL,NULL,19,NULL,NULL,19,12,NULL,NULL,"2016-01-24 13:21:29","2016-01-24 13:21:29",0
30,NULL,NULL,19,NULL,NULL,20,13,NULL,NULL,"2016-01-24 13:21:29","2016-01-24 13:21:29",0
31,NULL,NULL,19,NULL,NULL,21,14,NULL,NULL,"2016-01-24 13:21:29","2016-01-24 13:21:29",0
32,NULL,NULL,19,NULL,NULL,22,15,NULL,NULL,"2016-01-24 13:21:29","2016-01-24 13:21:29",0
33,NULL,NULL,19,NULL,NULL,23,16,NULL,NULL,"2016-01-24 13:21:29","2016-01-24 13:21:29",0
34,NULL,NULL,19,NULL,NULL,24,17,NULL,NULL,"2016-01-24 13:21:29","2016-01-24 13:21:29",0
35,NULL,NULL,19,NULL,NULL,25,18,NULL,NULL,"2016-01-24 13:21:29","2016-01-24 13:21:29",0
36,NULL,NULL,19,NULL,NULL,26,19,NULL,NULL,"2016-01-24 13:21:29","2016-01-24 13:21:29",0
142,NULL,9246,NULL,NULL,NULL,87,0,NULL,NULL,"2016-02-10 13:39:42","2016-02-10 13:39:42",0
143,NULL,9246,NULL,NULL,NULL,88,1,NULL,NULL,"2016-02-10 13:39:42","2016-02-10 13:39:42",0
144,NULL,9246,NULL,NULL,NULL,89,2,NULL,NULL,"2016-02-10 13:39:42","2016-02-10 13:39:42",0
145,NULL,9247,NULL,NULL,NULL,90,0,NULL,NULL,"2016-02-10 13:39:42","2016-02-10 13:39:42",0
150,NULL,NULL,37,NULL,NULL,95,0,NULL,NULL,"2016-02-11 16:07:48","2016-02-11 16:07:48",0
151,NULL,NULL,37,NULL,NULL,96,1,NULL,NULL,"2016-02-11 16:07:48","2016-02-11 16:07:48",0
152,NULL,NULL,37,NULL,NULL,97,2,NULL,NULL,"2016-02-11 16:07:48","2016-02-11 16:07:48",0
153,NULL,NULL,37,NULL,NULL,98,3,NULL,NULL,"2016-02-11 16:07:48","2016-02-11 16:07:48",0
154,NULL,NULL,37,NULL,NULL,99,4,NULL,NULL,"2016-02-11 16:07:48","2016-02-11 16:07:48",0
155,NULL,9975,NULL,NULL,NULL,99,0,NULL,NULL,"2016-02-11 16:07:48","2016-02-11 16:07:48",0
156,NULL,9980,NULL,NULL,NULL,95,0,NULL,NULL,"2016-02-11 16:07:49","2016-02-11 16:07:49",0
157,NULL,9980,NULL,NULL,NULL,96,1,NULL,NULL,"2016-02-11 16:07:49","2016-02-11 16:07:49",0
158,NULL,9980,NULL,NULL,NULL,97,2,NULL,NULL,"2016-02-11 16:07:49","2016-02-11 16:07:49",0
159,NULL,9980,NULL,NULL,NULL,98,3,NULL,NULL,"2016-02-11 16:07:49","2016-02-11 16:07:49",0
160,NULL,9980,NULL,NULL,NULL,99,4,NULL,NULL,"2016-02-11 16:07:49","2016-02-11 16:07:49",0
161,NULL,9986,NULL,NULL,NULL,95,0,NULL,NULL,"2016-02-11 16:07:49","2016-02-11 16:07:49",0
162,NULL,9986,NULL,NULL,NULL,96,1,NULL,NULL,"2016-02-11 16:07:49","2016-02-11 16:07:49",0
163,NULL,9986,NULL,NULL,NULL,97,2,NULL,NULL,"2016-02-11 16:07:49","2016-02-11 16:07:49",0
164,NULL,9986,NULL,NULL,NULL,98,3,NULL,NULL,"2016-02-11 16:07:49","2016-02-11 16:07:49",0
