id,top_container_id,location_id,aspace_relationship_position,suppressed,"jsonmodel_type","status","start_date","end_date","note","created_by","last_modified_by","system_mtime","user_mtime"
7,132,202,0,0,"container_location","current","2016-01-22",NULL,NULL,NULL,NULL,"2016-01-22 18:27:53","2016-01-22 18:27:53"
8,134,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
9,135,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
10,136,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
11,137,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
12,138,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
13,139,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
14,140,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
15,141,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
16,142,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
17,143,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
18,144,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
19,145,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
20,146,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
21,147,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
22,148,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
23,149,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
24,150,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
25,151,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
26,152,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
27,153,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
28,154,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
29,155,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
30,156,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
31,157,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
32,158,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
33,159,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
34,160,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
35,165,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
36,166,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
37,167,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
38,161,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
39,162,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
40,163,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
41,164,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
42,133,2,0,0,"container_location","current","2016-01-24",NULL,NULL,NULL,NULL,"2016-01-24 13:25:54","2016-01-24 13:25:54"
44,276,521,0,0,"container_location","current","2016-01-29",NULL,NULL,NULL,NULL,"2016-01-29 17:20:28","2016-01-29 17:20:28"
47,246,522,0,0,"container_location","previous","2016-01-29","2016-01-29",NULL,NULL,NULL,"2016-01-29 18:36:59","2016-01-29 18:36:59"
49,277,521,0,0,"container_location","current","2016-01-29",NULL,NULL,NULL,NULL,"2016-02-03 16:53:57","2016-02-03 16:53:57"
51,494,201,0,0,"container_location","current","2016-02-03",NULL,NULL,NULL,NULL,"2016-02-04 02:21:42","2016-02-04 02:21:42"
52,495,523,0,0,"container_location","current","2016-02-03",NULL,NULL,NULL,NULL,"2016-02-04 02:23:44","2016-02-04 02:23:44"
63,627,524,0,0,"container_location","previous","2016-02-07","2016-02-08",NULL,NULL,NULL,"2016-02-06 22:56:54","2016-02-06 22:56:54"
64,627,202,1,0,"container_location","current","2016-02-08",NULL,NULL,NULL,NULL,"2016-02-06 22:56:54","2016-02-06 22:56:54"
65,501,522,0,0,"container_location","current","2016-02-04",NULL,NULL,NULL,NULL,"2016-02-12 21:57:24","2016-02-12 21:57:24"
68,746,525,0,0,"container_location","current","2016-02-17",NULL,NULL,NULL,NULL,"2016-02-17 17:42:37","2016-02-17 17:42:37"
69,502,201,0,0,"container_location","current","2016-02-19",NULL,NULL,NULL,NULL,"2016-02-19 16:13:34","2016-02-19 16:13:34"
72,278,521,0,0,"container_location","current","2016-01-29",NULL,NULL,NULL,NULL,"2016-02-24 08:14:22","2016-02-24 08:14:22"
75,281,201,0,0,"container_location","current","2016-03-04",NULL,NULL,NULL,NULL,"2016-03-04 15:57:54","2016-03-04 15:57:54"
78,792,2,0,0,"container_location","current","2016-03-04",NULL,NULL,NULL,NULL,"2016-03-04 16:31:54","2016-03-04 16:31:54"
79,793,2,0,0,"container_location","current","2016-03-04",NULL,NULL,NULL,NULL,"2016-03-04 16:31:54","2016-03-04 16:31:54"
80,794,41,0,0,"container_location","current","2016-03-04",NULL,NULL,NULL,NULL,"2016-03-04 16:50:28","2016-03-04 16:50:28"
81,795,41,0,0,"container_location","current","2016-03-04",NULL,NULL,NULL,NULL,"2016-03-04 16:50:28","2016-03-04 16:50:28"
83,804,41,0,0,"container_location","current","2016-03-04",NULL,NULL,NULL,NULL,"2016-03-04 16:50:28","2016-03-04 16:50:28"
84,805,41,0,0,"container_location","current","2016-03-04",NULL,NULL,NULL,NULL,"2016-03-04 16:50:28","2016-03-04 16:50:28"
85,806,41,0,0,"container_location","current","2016-03-04",NULL,NULL,NULL,NULL,"2016-03-04 16:50:28","2016-03-04 16:50:28"
86,810,42,0,0,"container_location","current","2016-03-04",NULL,NULL,NULL,NULL,"2016-03-04 16:51:19","2016-03-04 16:51:19"
87,811,42,0,0,"container_location","current","2016-03-04",NULL,NULL,NULL,NULL,"2016-03-04 16:51:19","2016-03-04 16:51:19"
88,812,42,0,0,"container_location","current","2016-03-04",NULL,NULL,NULL,NULL,"2016-03-04 16:51:19","2016-03-04 16:51:19"
89,807,42,0,0,"container_location","current","2016-03-04",NULL,NULL,NULL,NULL,"2016-03-04 16:51:19","2016-03-04 16:51:19"
90,808,42,0,0,"container_location","current","2016-03-04",NULL,NULL,NULL,NULL,"2016-03-04 16:51:19","2016-03-04 16:51:19"
91,809,42,0,0,"container_location","current","2016-03-04",NULL,NULL,NULL,NULL,"2016-03-04 16:51:19","2016-03-04 16:51:19"
94,80,203,0,0,"container_location","current","2016-02-05",NULL,NULL,NULL,NULL,"2016-03-31 17:13:00","2016-03-31 17:13:00"
95,618,3,0,0,"container_location","current","2016-04-01",NULL,NULL,NULL,NULL,"2016-04-01 14:42:49","2016-04-01 14:42:49"
96,619,3,0,0,"container_location","current","2016-04-01",NULL,NULL,NULL,NULL,"2016-04-01 14:42:49","2016-04-01 14:42:49"
97,620,3,0,0,"container_location","current","2016-04-01",NULL,NULL,NULL,NULL,"2016-04-01 14:42:49","2016-04-01 14:42:49"
98,621,3,0,0,"container_location","current","2016-04-01",NULL,NULL,NULL,NULL,"2016-04-01 14:42:49","2016-04-01 14:42:49"
99,622,3,0,0,"container_location","current","2016-04-01",NULL,NULL,NULL,NULL,"2016-04-01 14:42:49","2016-04-01 14:42:49"
100,623,3,0,0,"container_location","current","2016-04-01",NULL,NULL,NULL,NULL,"2016-04-01 14:42:49","2016-04-01 14:42:49"
101,624,3,0,0,"container_location","current","2016-04-01",NULL,NULL,NULL,NULL,"2016-04-01 14:42:49","2016-04-01 14:42:49"
102,625,3,0,0,"container_location","current","2016-04-01",NULL,NULL,NULL,NULL,"2016-04-01 14:42:49","2016-04-01 14:42:49"
103,626,3,0,0,"container_location","current","2016-04-01",NULL,NULL,NULL,NULL,"2016-04-01 14:42:49","2016-04-01 14:42:49"
104,1315,527,0,0,"container_location","current","2016-04-11",NULL,NULL,NULL,NULL,"2016-04-11 17:56:47","2016-04-11 17:56:47"
105,1316,527,0,0,"container_location","current","2016-04-11",NULL,NULL,NULL,NULL,"2016-04-11 18:23:35","2016-04-11 18:23:35"
106,796,41,0,0,"container_location","current","2016-03-04",NULL,NULL,NULL,NULL,"2016-04-18 19:55:17","2016-04-18 19:55:17"
110,1325,6,0,0,"container_location","current","2016-04-22",NULL,NULL,NULL,NULL,"2016-04-22 21:40:39","2016-04-22 21:40:39"
